id,first term gpa,first term standing,graduated
3489,3.330769231,D,1
3518,1.003846154,D,0
3532,0.333333333,G,0
3551,3.98125,D,1
3557,0.43125,D,0
3605,3.4,G,1
3680,3.925,D,1
3696,1.822580645,G,0
3731,0.87,G,0
3752,2.4,D,1
3753,2.973684211,D,0
3780,1.244186047,G,0
3787,3.7375,D,1
3794,3.73125,D,1
3801,3.4375,G,1
3856,2.533333333,G,1
3861,1.580952381,G,0
3895,3.75625,G,1
3908,4,D,1
3910,3.4375,G,1
3912,3.428571429,G,1
3966,1.974576271,G,0
4017,1.875,G,0
4020,1.064516129,D,0
4045,2.875,D,1
4067,3.19375,D,0
4088,0,G,0
4116,3.2,D,1
4133,2.925,D,1
4141,1.64893617,G,0
4193,2.4375,G,1
4198,3.25,D,0
4207,1.878787879,G,0
4240,2.893333333,D,1
4259,0.375,D,0
4260,4,G,1
4263,0,D,0
4274,0.428571429,G,0
4277,4,D,1
4278,1.650793651,D,0
4285,0,G,0
4317,2.763380282,D,0
4318,0.083333333,D,0
4368,2.25,D,1
4392,3.764705882,D,1
4440,1.9625,G,1
4483,2.333333333,G,1
4495,0,G,0
4506,0.1,G,0
4508,2.364035088,D,0
4522,3.535294118,D,1
4532,0.75,D,0
4547,1.134042553,G,0
4634,0.692307692,D,0
4640,1.25,D,0
4641,3.466666667,D,1
4648,1.458333333,D,0
4675,1.742741935,G,0
4678,2.285714286,D,1
4687,2.167605634,D,0
4719,0.88,G,0
4727,0.882352941,D,0
4779,3.176470588,D,1
4787,1.366666667,D,0
4796,0.2,G,0
4814,3.275,D,1
4864,3.066666667,D,1
4934,0.425,G,0
4941,0.5,G,0
4992,3.583333333,D,1
4995,2.6625,D,1
4999,0.375,G,0
5023,3.416666667,G,1
5047,1.813636364,D,0
5054,0.25,G,0
5077,3.5625,D,1
5091,3.9,D,1
5108,1.723584906,G,0
5142,2.933333333,G,1
5148,1.952702703,D,0
5173,2.833333333,G,1
5174,1.890666667,D,0
5215,1.691666667,G,0
5223,1.107142857,D,0
5248,0.8,D,0
5252,1.865,D,0
5257,0.769230769,D,0
5259,3.353333333,D,0
5278,0.8125,D,0
5291,1.491304348,D,0
5299,3.466666667,D,1
5341,3.357142857,D,1
5349,0.615384615,G,0
5357,3.006666667,G,1
5370,1.733333333,D,1
5372,1.25,G,0
5435,3.076923077,G,1
5447,2.164179104,D,0
5464,2.028125,G,0
5473,0.792307692,D,0
5497,1.45,D,0
5498,2.9125,D,1
5526,1.416666667,D,0
5563,2.625,G,1
5597,0.738461538,D,0
5599,2.052066116,G,0
5602,0.133333333,D,0
5611,1.933333333,D,1
5613,1.5,D,0
5614,0.5,G,0
5625,1.864705882,D,0
5629,3.1375,D,1
5676,1.325,D,0
5686,1.68,G,0
5715,0,D,0
5720,2.609090909,D,0
5726,3.925,D,1
5734,3.185714286,D,1
5756,2.371666667,G,0
5760,1.254166667,G,0
5762,0.6,D,0
5764,0.68125,D,0
5795,1.597560976,D,0
5822,3.176470588,D,1
5843,1.90952381,D,0
5861,0.266666667,G,0
5896,2.143220339,D,0
5918,1.770833333,D,0
5944,2.20862069,D,0
5953,1.545454545,D,0
5969,1.565217391,D,0
5977,1.646728972,D,0
6009,3.0625,D,1
6052,2.015625,D,0
6066,0.713333333,G,0
6070,0.588461538,D,0
6071,2.490666667,D,0
6073,1.883838384,D,0
6105,1.416071429,D,0
6139,0,D,0
6142,2.369230769,D,0
6144,3.094117647,D,1
6145,3.73125,D,1
6147,2.094782609,G,0
6166,3.066666667,G,1
6185,0,D,0
6187,0.913043478,G,0
6197,0.958333333,D,0
6205,3.170588235,D,1
6208,2.3125,D,1
6239,2.358490566,G,0
6241,2.372,G,0
6261,0.915625,D,0
6287,0,D,0
6304,2.946666667,D,1
6319,2.417741935,D,0
6325,1.603174603,G,0
6332,1.278571429,D,1
6367,1.374,D,0
6368,1.75,P,1
6379,2.066666667,D,1
6388,2.773333333,G,1
6417,2.742857143,G,1
6449,2.153846154,G,1
6454,1.686567164,G,0
6456,1.655172414,G,0
6463,1.205128205,D,0
6464,3.071428571,D,1
6478,1.110526316,D,0
6480,2.899,G,0
6513,1.797368421,D,0
6516,1.516666667,D,0
6525,0.6,D,0
6539,3.043956044,D,0
6548,1.7625,D,0
6577,3.361111111,D,1
6597,3.38,D,1
6681,1.208,G,0
6702,1.47,G,0
6717,2.51875,D,0
6730,1.285714286,D,1
6750,2.4,D,1
6758,2.005084746,P,0
6764,3.182352941,G,1
6767,1.04,D,0
6781,1,G,0
6784,1.713793103,D,0
6788,1.522727273,D,0
6811,2.368421053,D,0
6822,1.827586207,D,0
6823,3.333333333,D,1
6844,2.553333333,D,1
6846,2.602150538,G,0
6893,1.225925926,G,0
6900,1.035,D,0
6922,1.963333333,D,0
6940,1.781914894,D,0
6972,1.444827586,D,0
6977,3.042857143,D,1
7005,2.125,D,1
7056,1.909090909,G,0
7127,1.754054054,G,0
7128,2.140625,D,0
7132,2.786666667,D,1
7134,1.274509804,D,0
7141,2.7625,G,1
7158,3.6,D,1
7184,2.8,G,0
7200,1.747169811,G,0
7212,1.905660377,D,0
7241,1.382608696,D,0
7244,4,D,1
7270,3,D,1
7289,0.3,G,0
7341,1.15,G,0
7344,0,D,0
7357,3.3,D,1
7364,2.928571429,D,1
7370,1.405405405,G,0
7389,2.066666667,G,1
7391,0.5,D,0
7411,1.955932203,G,0
7441,1.157894737,D,1
7447,1.34,D,0
7449,1.861111111,P,0
7471,1.756666667,D,0
7560,1.225531915,D,0
7561,2.36875,D,0
7563,2.642857143,D,1
7568,0.571428571,D,0
7585,3.066666667,G,1
7641,2.24,D,0
7651,3.413333333,G,1
7664,0,D,0
7682,0.31875,G,0
7694,2.5,D,1
7699,3.111111111,D,1
7721,2.726666667,G,1
7738,0.428571429,G,0
7744,0.25,G,0
7763,0.857142857,D,0
7775,1.663235294,D,0
7792,1.365853659,D,0
7798,3.133333333,D,1
7801,3.4375,D,1
7803,1.5,G,0
7820,0.466666667,G,0
7841,3.44375,D,1
7845,4,D,1
7849,2.666666667,G,0
7863,1.25,G,0
7883,3.5,D,1
7923,4,D,1
7927,0,G,0
7948,2.133333333,G,1
7951,2.1375,D,1
7958,3.214285714,G,1
7963,1.084615385,G,0
7970,2.00625,G,1
7987,2.5,D,1
8014,2.1875,G,1
8072,1.04,G,0
8086,2.1875,G,1
8110,3.75,D,1
8134,1.756756757,G,0
8139,1.798387097,G,0
8167,2.944444444,D,1
8177,3.453846154,D,1
8226,1.818604651,G,0
8227,1.836697248,G,0
8229,1.145,D,0
8231,2.79,D,1
8248,2.091891892,D,0
8259,2.846875,G,0
8272,3.419626168,D,0
8282,1.625,D,0
8294,1.666666667,D,0
8302,0.285714286,D,0
8305,2.063120567,D,0
8308,1.133333333,D,1
8318,1.538461538,D,1
8334,2.133333333,P,1
8345,2.098305085,G,0
8359,3.535294118,G,1
8406,1.785714286,D,0
8420,2.253846154,G,1
8442,3.8,D,1
8444,1.87654321,G,0
8478,1.861538462,G,0
8485,2.085714286,D,0
8513,3.553846154,D,1
8519,0.6,D,0
8540,1.553333333,G,0
8542,2.003603604,D,0
8551,2.375,D,1
8553,3.4625,D,1
8558,1.003846154,G,0
8560,0,G,0
8592,2.985714286,D,1
8633,1.836029412,D,0
8655,0,G,0
8661,2.866666667,D,1
8670,1.373831776,D,0
8697,1.588721805,G,0
8700,2.846153846,D,1
8742,1.257142857,D,0
8753,0.31875,G,0
8771,3.714285714,D,1
8788,3.78,D,1
8795,1.725,G,0
8804,1.798333333,G,0
8806,1.527777778,D,0
8825,3.176923077,D,1
8834,3.311764706,D,1
8837,1.671428571,G,0
8884,0.387096774,G,0
8894,0.230769231,D,0
8955,0.942857143,D,0
8964,3.8,D,1
8966,1.363636364,D,0
8978,0,G,0
8989,1.715686275,D,0
9008,3.513333333,D,1
9039,1.719565217,D,0
9042,2.063291139,G,0
9043,3.13125,D,1
9055,2.235483871,D,0
9057,2.5125,G,1
9071,2.648958333,D,0
9076,3.5375,G,1
9097,3.777777778,D,1
9105,1.952777778,G,0
9123,0.476470588,G,0
9127,0.491666667,D,0
9133,0.1875,D,0
9155,0.906666667,D,0
9165,3.4375,D,1
9170,4,D,1
9183,1.619642857,G,0
9252,1.275,G,0
9276,3,D,1
9278,3.218947368,D,0
9304,2.25,G,1
9320,0,D,0
9327,1.748484848,G,0
9330,3.352941176,D,1
9342,1.52173913,D,0
9352,1.8125,G,1
9358,3.25,D,1
9365,3.594117647,G,1
9370,4,G,1
9378,3.3625,G,1
9386,1.004347826,G,0
9405,3.50625,G,1
9410,1.907142857,D,1
9453,0.727777778,G,0
9460,0.666666667,G,0
9472,1.2875,D,0
9475,2.186666667,D,1
9488,1.116666667,D,0
9506,0.4,G,0
9509,0.677419355,D,0
9516,1.351612903,D,0
9532,3.4375,D,1
9533,2.610778443,D,0
9534,0.1875,G,0
9535,1.5,D,0
9539,1.565217391,D,0
9548,3.373333333,D,1
9551,1.798095238,D,0
9572,3.613333333,G,1
9584,1.248333333,D,0
9585,1.642592593,G,0
9586,1.244827586,D,0
9590,3.034615385,D,0
9591,1.413793103,D,0
9634,0,D,0
9663,2.553333333,D,0
9707,0.714285714,D,0
9757,1.697674419,D,0
9764,3.533333333,D,1
9767,3.13125,D,1
9771,0.866666667,G,0
9778,0.214285714,G,0
9789,3.266666667,D,1
9795,1.541463415,D,0
9803,0.214285714,G,0
9866,3.7125,D,1
9901,3.98,D,1
9916,2.124242424,G,0
9931,3.929411765,G,1
9959,3.428571429,D,1
9990,0,G,0
10031,2.91875,G,1
10047,1.574074074,D,0
10051,0,G,0
10105,2.125,D,1
10122,0.996,D,0
10174,2.91875,G,1
10307,2.111111111,D,0
10325,2.785,G,0
10344,2.571428571,D,0
10364,2.95,D,1
10368,1.806944444,D,0
10369,2.109589041,G,0
10401,3.007692308,D,1
10402,3.18,D,1
10420,1.943396226,G,0
10422,1.576136364,G,0
10436,4,D,1
10443,0,D,0
10448,1.2,G,0
10468,1.856140351,D,0
10505,2.088235294,D,0
10506,1.746428571,D,0
10518,2.307692308,D,1
10569,2,D,1
10584,2.9,G,1
10592,1.793333333,G,1
10616,2.529411765,G,1
10634,1.61627907,P,0
10641,4,G,1
10649,3.076923077,D,1
10654,0.2,G,0
10656,0.461538462,G,0
10661,3.615384615,D,1
