id,prev term number,current term number,prev GPA,current GPA
8542,900,920,2.0692307690000002,3.175
8551,980,990,2.230769231,2.7461538460000003
8553,990,1010,2.830769231,2.015384615
8558,860,870,1.5083333330000002,0.571428571
8592,920,930,3.230769231,3.015384615
8636,980,990,3.357142857,3.876470588
8655,920,930,2.5333333330000003,2.333333333
8661,920,930,2.814285714,3.26
8670,810,830,1.25,1.333333333
8697,950,960,2.7,2.08
8700,830,840,1.8125,2.076923077
8727,920,930,3.5,3.721428571
8742,1040,1050,1.75,0.6
8765,860,870,3.258823529,3.2625
8771,810,830,3.8,3.0
8788,930,960,3.86875,3.9
8797,980,990,2.75,3.5
8804,980,990,0.5,1.0
8806,740,750,1.692307692,1.692307692
8825,1040,1050,3.5176470589999997,3.769230769
8834,950,960,2.723529412,3.5363636360000004
8837,890,900,2.635714286,0.707142857
8884,860,890,1.0,3.688888889
8915,950,960,1.8125,2.5
8955,1020,1040,0.942857143,1.0888888890000001
8964,860,870,2.384615385,3.4
8966,770,800,2.166666667,0.26666666699999997
8989,960,980,1.773333333,1.766666667
9008,1010,1020,3.68,3.26
9024,890,900,2.15,2.75
9039,930,950,2.169230769,0.857142857
9043,870,890,2.93125,3.4
9057,980,990,3.621428571,3.82
9062,870,890,3.2,2.4466666669999997
9071,980,990,2.80625,2.8461538460000004
9076,960,980,2.446153846,3.6363636360000005
9097,950,960,3.75625,3.54
9105,860,870,3.233333333,2.746666667
9123,950,960,0.476470588,0.627272727
9127,950,960,0.49166666700000006,2.2
9148,980,990,3.6,3.25
9165,920,930,3.4375,3.625
9170,890,900,3.3,3.785714286
9183,1010,1020,2.130769231,0.615384615
9201,920,930,1.425,2.425
9228,960,980,2.25,2.8529411760000003
9234,780,800,1.8235294119999998,1.428571429
9252,840,860,1.25,1.075
9268,840,860,2.75,0.8538461540000001
9274,900,920,2.861111111,2.3875
9276,1010,1020,3.06,2.7833333330000003
9279,980,990,3.22,2.88
9304,890,900,2.128571429,2.883333333
9330,830,840,3.0625,3.25
9342,860,870,3.25,2.78
9352,860,870,3.0,2.511764706
9358,830,840,2.083333333,1.9333333330000002
9361,950,960,2.075,2.958333333
9365,950,960,2.8875,2.675
9370,840,860,4.0,3.925
9376,930,950,2.52,3.1375
9378,980,990,3.35,3.54
9389,930,950,2.825,3.075
9401,860,870,3.930769231,3.94
9405,890,900,3.50625,2.435714286
9410,860,870,1.907142857,2.288235294
9411,1010,1020,2.425,2.0
9453,870,890,1.122222222,0.330769231
9460,980,1010,0.75,0.7692307690000001
9472,980,990,1.713333333,0.79
9475,890,920,2.564285714,2.358333333
9488,980,990,1.884615385,0.164285714
9509,740,750,0.875,0.46666666700000003
9516,900,920,2.24375,0.4
9532,960,980,3.68,3.425
9534,990,1010,2.376470588,2.88
9535,830,840,4.0,3.5
9539,770,780,2.25,1.153846154
9548,860,870,3.373333333,2.26
9564,890,900,1.40625,1.357142857
9572,990,1010,2.99375,2.8875
9584,830,840,1.8,1.75
9585,870,890,1.3833333330000002,1.6666666669999999
9586,1040,1050,1.88125,0.46153846200000004
9591,1020,1040,2.416666667,1.821428571
9689,860,870,2.6,2.384615385
9750,890,900,3.6357142860000002,3.5142857139999997
9764,930,950,2.08,2.85
9767,1010,1020,3.6,3.4823529410000003
9789,890,900,3.0,1.14
9795,890,900,2.0,2.007142857
9803,890,900,0.214285714,0.925
9810,900,920,2.0,1.783333333
9834,930,950,3.54375,2.22
9866,890,900,3.2625,3.3
9901,930,950,3.28,2.7230769230000003
9916,900,920,2.2,2.2
9931,920,950,3.515384615,3.538461538
9947,1010,1020,1.7,2.925
9959,840,860,3.0625,2.084615385
9969,930,950,2.928571429,3.316666667
10031,890,900,2.91875,2.894117647
10047,780,800,2.153846154,1.0
10062,920,930,2.9625,3.285714286
10105,840,860,2.6,2.3125
10122,920,960,1.915384615,0.892307692
10174,920,930,2.113333333,2.88
10194,960,980,3.1714285710000003,2.992857143
10282,980,990,1.9,2.6
10307,890,900,2.615384615,3.3636363639999995
10364,990,1010,3.46,2.825
10369,800,810,1.9333333330000002,3.0
10401,900,920,2.4733333330000002,3.570588235
10402,930,950,2.758823529,2.007692308
10412,860,870,3.01875,1.415384615
10420,780,800,2.307692308,0.692307692
10434,920,930,2.717647059,2.417647059
10436,930,950,3.92,3.61875
10468,960,980,2.475,1.8941176469999998
10505,920,930,2.2230769230000003,1.675
10518,830,840,2.25,2.25
10529,800,810,2.928571429,3.235294118
10555,860,870,2.4,2.86
10569,950,960,2.8384615380000002,1.25
10584,930,950,2.392857143,2.618181818
10592,890,900,2.175,2.8642857139999998
10594,920,930,3.14,2.68
10606,990,1010,3.5,3.084615385
10616,920,930,2.354545455,3.784615385
10634,980,990,1.9357142859999998,2.4
10641,860,870,4.0,4.0
10643,980,990,1.9333333330000002,2.792307692
10644,1010,1020,2.925,3.210526316
10649,890,900,3.625,3.6357142860000002
10651,920,930,3.74,3.871428571
10661,960,980,3.5411764710000004,3.8384615380000002
10693,1010,1020,3.175,3.5
