,fall,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring
7763,1.153846154,0.857142857,0.857142857,1.512195122,1.512195122,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754,1.280701754
8724,3.0625,2.9375,2.9375,2.733333333,2.733333333,2.786885246,2.796875,2.819277108,2.819277108,2.731958763,2.731958763,2.736363636,2.736363636,2.65625,2.65625,2.65625,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137,2.664122137
305,2.4,2.217391304,2.217391304,2.125,2.125,2.326086957,2.326086957,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333,2.383333333
3044,3.0625,3.148148148,3.148148148,2.975,2.975,2.867924528,2.867924528,2.956521739,2.971428571,2.86746988,2.86746988,2.737373737,2.737373737,2.836363636,2.814159292,2.817460317,2.817460317,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444,2.950694444
3718,2.153846154,2,2,1.815789474,1.975609756,2.150943396,2.150943396,2.180555556,2.180555556,2.290697674,2.290697674,2.1875,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212,2.212121212
2552,2.4,2.166666667,2.166666667,2.441860465,2.441860465,2.586206897,2.586206897,2.589041096,2.589041096,2.625,2.625,2.708737864,2.708737864,2.694915254,2.694915254,2.754477612,2.754477612,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241,2.765517241
10518,2.307692308,2.444444444,2.444444444,2.1,2.1,2.111111111,2.111111111,1.925373134,1.925373134,2.231707317,2.231707317,2.234042553,2.234042553,2.235849057,2.235849057,2.181512605,2.181512605,2.0768,2.0768,2.0768,2.0768,2.141984733,2.141984733,2.214492754,2.214492754,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556,2.268055556
5472,2.733333333,3.090909091,3.090909091,3.236842105,3.236842105,3.176470588,2.982758621,3.041666667,3.041666667,2.988636364,2.988636364,3.009615385,3.009615385,3.034482759,3.058823529,3.112686567,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788,3.132116788
2432,0.769230769,0.782608696,0.782608696,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333,1.083333333
6325,2.9375,2.303030303,2.303030303,2.14893617,2.14893617,2.14893617,2.14893617,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603,1.603174603
8806,1.5,1.6,1.6,1.75,1.75,1.666666667,1.683333333,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778,1.527777778
4182,2.307692308,3.214285714,3.214285714,3.435897436,3.435897436,3.592592593,3.592592593,3.676470588,3.676470588,3.590361446,3.590361446,3.494949495,3.494949495,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286,3.410714286
2614,1.533333333,1.7,1.7,1.866666667,1.866666667,1.9,1.954545455,2.341176471,2.341176471,2.485148515,2.485148515,2.613445378,2.613445378,2.583333333,2.583333333,2.583333333,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612,2.604477612
1921,0.785714286,1.769230769,1.769230769,1.69047619,1.69047619,1.883333333,1.883333333,1.906666667,1.906666667,2.088888889,2.088888889,2.132075472,2.132075472,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714,2.151785714
1762,2.764705882,2.787878788,2.787878788,2.836734694,2.836734694,2.787878788,2.787878788,2.746987952,2.746987952,2.831683168,2.831683168,2.898305085,2.898305085,2.911111111,2.911111111,2.988235294,2.988235294,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455,3.013772455
6454,2.75,2.066666667,2.066666667,1.928571429,1.928571429,2.054545455,2.054545455,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164,1.686567164
9843,1.833333333,1.612903226,1.612903226,1.666666667,1.666666667,1.631578947,1.631578947,1.8,1.8,1.804597701,1.804597701,1.909090909,1.909090909,1.814159292,1.814159292,2.000775194,2.000775194,2.028275862,2.066887417,1.987861272,1.987861272,1.936507937,1.936507937,1.984848485,1.984848485,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881,1.955223881
8978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7469,2.666666667,2.695652174,2.695652174,2.142857143,2.142857143,1.88,1.88,2.092307692,2.092307692,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026,2.25974026
1603,2.333333333,2.8,2.8,2.934782609,2.934782609,2.950819672,2.950819672,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411,2.95890411
6235,1,1.444444444,1.444444444,1.743589744,1.8,1.854545455,1.854545455,2.136986301,2.136986301,2.284090909,2.284090909,2.300970874,2.300970874,2.429752066,2.429752066,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343,2.506569343
4498,2.642857143,2.307692308,2.307692308,2.205128205,2.205128205,2.448979592,2.448979592,2.508196721,2.508196721,2.689189189,2.689189189,2.818181818,2.818181818,2.971153846,2.971153846,3.052136752,3.052136752,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231,3.130769231
7391,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5405,2.25,2.409090909,2.409090909,2.583333333,2.583333333,2.264150943,2.264150943,2.363636364,2.363636364,2.524390244,2.524390244,2.690721649,2.690721649,2.7,2.7,2.757142857,2.757142857,2.831914894,2.831914894,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935,2.827741935
2257,2,1.483870968,1.483870968,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721,1.534883721
816,0.214285714,1.214285714,1.214285714,1.564102564,1.564102564,1.923076923,1.923076923,1.492753623,1.492753623,1.492753623,1.492753623,1.492753623,1.492753623,1.492753623,1.492753623,1.585333333,1.585333333,1.701149425,1.701149425,1.644444444,1.644444444,1.644444444,1.644444444,1.644444444,1.644444444,1.644444444,1.644444444,1.644444444,1.644444444,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859,1.858585859
3124,1.714285714,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333,1.833333333
