Course1,Course2,Course6,Event Probability
A-,B+,D+,0.0041
A-,B+,D,0
A-,B+,D-,0
A-,B+,F,0.0001
A-,B,A,0.3769
A-,B,A-,0.0476
A-,B,B+,0.5398
A-,B,B,0.0099
A-,B,B-,0.0178
A-,B,C+,0.0019
A-,B,C,0.0011
A-,B,C-,0.0031
A-,B,D+,0.0006
A-,B,D,0.0004
A-,B,D-,0.0002
A-,B,F,0.0007
A-,B-,A,0.1106
A-,B-,A-,0.7767
A-,B-,B+,0.0903
A-,B-,B,0.0219
A-,B-,B-,0.0005
A-,B-,C+,0
A-,B-,C,0
A-,B-,C-,0
A-,B-,D+,0
A-,B-,D,0
A-,B-,D-,0
A-,B-,F,0
A-,C+,A,0.4105
A-,C+,A-,0.5102
A-,C+,B+,0.068
A-,C+,B,0.0041
A-,C+,B-,0.004
A-,C+,C+,0.0027
A-,C+,C,0.0004
A-,C+,C-,0
A-,C+,D+,0.0001
A-,C+,D,0
A-,C+,D-,0
A-,C+,F,0
A-,C,A,0.3922
A-,C,A-,0.5635
A-,C,B+,0.0388
A-,C,B,0.0038
A-,C,B-,0.0009
A-,C,C+,0.0003
A-,C,C,0.0004
A-,C,C-,0.0001
A-,C,D+,0
A-,C,D,0
A-,C,D-,0
A-,C,F,0
A-,C-,A,0.4846
A-,C-,A-,0.2861
A-,C-,B+,0.0061
A-,C-,B,0.0841
A-,C-,B-,0.0775
A-,C-,C+,0
A-,C-,C,0.0454
A-,C-,C-,0.0085
A-,C-,D+,0.0022
A-,C-,D,0.005
A-,C-,D-,0.0004
A-,C-,F,0.0001
A-,D+,A,0.0277
A-,D+,A-,0.4924
A-,D+,B+,0.2295
A-,D+,B,0.1735
A-,D+,B-,0.0119
A-,D+,C+,0.0576
A-,D+,C,0.0015
A-,D+,C-,0.0037
A-,D+,D+,0.0019
A-,D+,D,0.0001
A-,D+,D-,0.0002
A-,D+,F,0
A-,D,A,0.8533
A-,D,A-,0.0065
A-,D,B+,0.0494
A-,D,B,0.0756
A-,D,B-,0.0016
A-,D,C+,0.0009
A-,D,C,0.0055
A-,D,C-,0.0024
A-,D,D+,0.0006
A-,D,D,0.0029
A-,D,D-,0.0009
A-,D,F,0.0004
A-,D-,A,0.6887
A-,D-,A-,0.2562
A-,D-,B+,0.0315
A-,D-,B,0.0213
A-,D-,B-,0.0006
A-,D-,C+,0.001
A-,D-,C,0
A-,D-,C-,0.0002
A-,D-,D+,0.0002
A-,D-,D,0.0001
A-,D-,D-,0.0001
A-,D-,F,0.0001
A-,F,A,0.7739
A-,F,A-,0.2223
A-,F,B+,0.0006
A-,F,B,0.0016
A-,F,B-,0.0009
A-,F,C+,0.0005
A-,F,C,0.0001
A-,F,C-,0
A-,F,D+,0
A-,F,D,0.0001
A-,F,D-,0
A-,F,F,0
B+,A,A,0.7641
B+,A,A-,0.2186
B+,A,B+,0.0126
B+,A,B,0.0016
B+,A,B-,0.0025
B+,A,C+,0.0006
B+,A,C,0
B+,A,C-,0
B+,A,D+,0
B+,A,D,0
B+,A,D-,0
B+,A,F,0
B+,A-,A,0.4759
B+,A-,A-,0.1896
B+,A-,B+,0.0214
B+,A-,B,0.291
B+,A-,B-,0.0065
B+,A-,C+,0.0087
B+,A-,C,0.0062
B+,A-,C-,0.0004
B+,A-,D+,0.0002
B+,A-,D,0
B+,A-,D-,0.0001
B+,A-,F,0
B+,B+,A,0.1752
B+,B+,A-,0.3946
B+,B+,B+,0.0426
B+,B+,B,0.0606
B+,B+,B-,0.0225
B+,B+,C+,0.1416
B+,B+,C,0.1432
B+,B+,C-,0.0194
B+,B+,D+,0.0003
B+,B+,D,0
B+,B+,D-,0
B+,B+,F,0
B+,B,A,0.3703
B+,B,A-,0.6131
B+,B,B+,0.0016
B+,B,B,0.0006
B+,B,B-,0.0042
B+,B,C+,0.01
B+,B,C,0
B+,B,C-,0
B+,B,D+,0.0001
B+,B,D,0
B+,B,D-,0
B+,B,F,0.0001
B+,B-,A,0.6049
B+,B-,A-,0.3557
B+,B-,B+,0.0292
B+,B-,B,0.0033
B+,B-,B-,0.0063
B+,B-,C+,0.0003
B+,B-,C,0.0001
B+,B-,C-,0.0001
B+,B-,D+,0.0001
B+,B-,D,0
B+,B-,D-,0
B+,B-,F,0
B+,C+,A,0.6031
B+,C+,A-,0.3269
B+,C+,B+,0.0397
B+,C+,B,0.0073
B+,C+,B-,0.0039
B+,C+,C+,0.0098
B+,C+,C,0.0043
B+,C+,C-,0.0032
B+,C+,D+,0.0013
B+,C+,D,0.0005
B+,C+,D-,0
B+,C+,F,0
B+,C,A,0.7288
B+,C,A-,0.2196
B+,C,B+,0.015
B+,C,B,0.0308
B+,C,B-,0.0051
B+,C,C+,0.0002
B+,C,C,0.0001
B+,C,C-,0.0001
B+,C,D+,0.0002
B+,C,D,0
B+,C,D-,0.0001
B+,C,F,0
B+,C-,A,0.8507
B+,C-,A-,0.1123
B+,C-,B+,0.0038
B+,C-,B,0.0185
B+,C-,B-,0.0133
B+,C-,C+,0.0002
B+,C-,C,0
B+,C-,C-,0.0009
B+,C-,D+,0.0002
B+,C-,D,0.0001
B+,C-,D-,0
B+,C-,F,0
B+,D+,A,0.2833
B+,D+,A-,0.315
B+,D+,B+,0.1896
B+,D+,B,0.1595
B+,D+,B-,0.0177
B+,D+,C+,0.0242
B+,D+,C,0.0035
B+,D+,C-,0.0027
B+,D+,D+,0.0007
B+,D+,D,0.0024
B+,D+,D-,0.0008
B+,D+,F,0.0006
B+,D,A,0.1787
B+,D,A-,0.6033
B+,D,B+,0.1042
B+,D,B,0.0989
B+,D,B-,0.0065
B+,D,C+,0.0052
B+,D,C,0.0012
B+,D,C-,0.0011
B+,D,D+,0
B+,D,D,0.0006
B+,D,D-,0.0003
B+,D,F,0
B+,D-,A,0.618
B+,D-,A-,0.0538
B+,D-,B+,0.2167
B+,D-,B,0.093
B+,D-,B-,0.001
B+,D-,C+,0.0059
B+,D-,C,0.0025
B+,D-,C-,0
B+,D-,D+,0.0089
B+,D-,D,0.0002
B+,D-,D-,0
B+,D-,F,0
B+,F,A,0.0261
B+,F,A-,0.3418
B+,F,B+,0.4088
B+,F,B,0.1519
B+,F,B-,0.0365
B+,F,C+,0.0206
B+,F,C,0.0042
B+,F,C-,0.0081
B+,F,D+,0.0011
B+,F,D,0.0001
B+,F,D-,0.0005
B+,F,F,0.0003
B,A,A,0.319
B,A,A-,0.1608
B,A,B+,0.0985
B,A,B,0.1222
B,A,B-,0.2942
B,A,C+,0.0004
B,A,C,0.0038
B,A,C-,0.0007
B,A,D+,0.0002
B,A,D,0.0001
B,A,D-,0
B,A,F,0.0001
B,A-,A,0.0539
B,A-,A-,0.4345
B,A-,B+,0.3674
B,A-,B,0.043
B,A-,B-,0.0549
B,A-,C+,0.0317
B,A-,C,0.0006
B,A-,C-,0.0112
B,A-,D+,0.0008
B,A-,D,0.0002
B,A-,D-,0.0003
B,A-,F,0.0015
B,B+,A,0.2564
B,B+,A-,0.2867
B,B+,B+,0.1613
B,B+,B,0.0901
B,B+,B-,0.0709
B,B+,C+,0.0595
B,B+,C,0.0739
B,B+,C-,0.0006
B,B+,D+,0.0004
B,B+,D,0
B,B+,D-,0
B,B+,F,0.0002
B,B,A,0.0804
B,B,A-,0.5407
B,B,B+,0.2304
B,B,B,0.0147
B,B,B-,0.0858
B,B,C+,0.0314
B,B,C,0.001
B,B,C-,0.0094
B,B,D+,0.0043
B,B,D,0.0009
B,B,D-,0.0008
B,B,F,0.0002
B,B-,A,0.0738
B,B-,A-,0.8127
B,B-,B+,0.004
B,B-,B,0.0121
B,B-,B-,0.0534
B,B-,C+,0.0275
B,B-,C,0.0066
B,B-,C-,0.0028
B,B-,D+,0.0027
B,B-,D,0.0011
B,B-,D-,0.0028
B,B-,F,0.0005
B,C+,A,0.6521
B,C+,A-,0.1238
B,C+,B+,0.0958
B,C+,B,0.0371
B,C+,B-,0.031
B,C+,C+,0.0261
B,C+,C,0.015
B,C+,C-,0.0034
B,C+,D+,0.0101
B,C+,D,0.0025
B,C+,D-,0
B,C+,F,0.0031
B,C,A,0.8561
B,C,A-,0.1433
B,C,B+,0.0002
B,C,B,0.0001
B,C,B-,0.0002
B,C,C+,0.0001
B,C,C,0
B,C,C-,0
B,C,D+,0
B,C,D,0
B,C,D-,0
B,C,F,0
B,C-,A,0.096
B,C-,A-,0.6891
B,C-,B+,0.2125
B,C-,B,0.0008
B,C-,B-,0.0009
B,C-,C+,0.0005
B,C-,C,0.0002
B,C-,C-,0
B,C-,D+,0
B,C-,D,0
B,C-,D-,0
B,C-,F,0
B,D+,A,0.9183
B,D+,A-,0.0394
B,D+,B+,0.0382
B,D+,B,0.0003
B,D+,B-,0.002
B,D+,C+,0.0001
B,D+,C,0.0017
B,D+,C-,0
B,D+,D+,0
B,D+,D,0
B,D+,D-,0
B,D+,F,0
B,D,A,0.5717
B,D,A-,0.2697
B,D,B+,0.0349
B,D,B,0.063
B,D,B-,0.0321
B,D,C+,0.0163
B,D,C,0.0081
B,D,C-,0.0009
B,D,D+,0.0015
B,D,D,0.0011
B,D,D-,0.0002
B,D,F,0.0005
B,D-,A,0.8837
B,D-,A-,0.1106
B,D-,B+,0.0003
B,D-,B,0.0053
B,D-,B-,0.0001
B,D-,C+,0
B,D-,C,0
B,D-,C-,0
B,D-,D+,0
B,D-,D,0
B,D-,D-,0
B,D-,F,0
B,F,A,0.4429
B,F,A-,0.0659
B,F,B+,0.3288
B,F,B,0.1561
B,F,B-,0.0041
B,F,C+,0.0017
B,F,C,0
B,F,C-,0.0003
B,F,D+,0.0002
B,F,D,0
B,F,D-,0
B,F,F,0
B-,A,A,0.7589
B-,A,A-,0.0042
B-,A,B+,0.0889
B-,A,B,0.0699
B-,A,B-,0.0694
B-,A,C+,0.0064
B-,A,C,0.002
B-,A,C-,0
B-,A,D+,0.0001
B-,A,D,0
B-,A,D-,0
B-,A,F,0.0002
B-,A-,A,0.1488
B-,A-,A-,0.3457
B-,A-,B+,0.0878
B-,A-,B,0.2427
B-,A-,B-,0.1429
B-,A-,C+,0.0013
B-,A-,C,0.0295
B-,A-,C-,0.0011
B-,A-,D+,0.0001
B-,A-,D,0.0001
B-,A-,D-,0
B-,A-,F,0
B-,B+,A,0.4476
B-,B+,A-,0.1746
B-,B+,B+,0.2314
B-,B+,B,0.1237
B-,B+,B-,0.0157
B-,B+,C+,0.0039
B-,B+,C,0.0031
B-,B+,C-,0
B-,B+,D+,0
B-,B+,D,0
B-,B+,D-,0
B-,B+,F,0
B-,B,A,0.4344
B-,B,A-,0.089
B-,B,B+,0.1639
B-,B,B,0.255
B-,B,B-,0.0313
B-,B,C+,0.0189
B-,B,C,0.0002
B-,B,C-,0.0017
B-,B,D+,0.001
B-,B,D,0.0022
B-,B,D-,0.0012
B-,B,F,0.0012
B-,B-,A,0.379
B-,B-,A-,0.0399
B-,B-,B+,0.1955
B-,B-,B,0.3491
B-,B-,B-,0.0236
B-,B-,C+,0.0101
B-,B-,C,0.0023
B-,B-,C-,0
B-,B-,D+,0.0003
B-,B-,D,0.0002
B-,B-,D-,0
B-,B-,F,0
B-,C+,A,0.6737
B-,C+,A-,0.3102
B-,C+,B+,0.0097
B-,C+,B,0.0008
B-,C+,B-,0.005
B-,C+,C+,0.0006
B-,C+,C,0
B-,C+,C-,0
B-,C+,D+,0
B-,C+,D,0
B-,C+,D-,0
B-,C+,F,0
B-,C,A,0.8775
B-,C,A-,0.0847
B-,C,B+,0.0232
B-,C,B,0.0087
B-,C,B-,0.0022
B-,C,C+,0.0031
B-,C,C,0.0001
B-,C,C-,0.0002
B-,C,D+,0.0003
B-,C,D,0
B-,C,D-,0
B-,C,F,0
B-,C-,A,0.0281
B-,C-,A-,0.452
B-,C-,B+,0.2763
B-,C-,B,0.2148
B-,C-,B-,0
B-,C-,C+,0.0188
B-,C-,C,0.0076
B-,C-,C-,0.0005
B-,C-,D+,0.0002
B-,C-,D,0.0003
B-,C-,D-,0.0004
B-,C-,F,0.001
B-,D+,A,0.6254
B-,D+,A-,0.1778
B-,D+,B+,0.0402
B-,D+,B,0.0621
B-,D+,B-,0.059
B-,D+,C+,0.0083
B-,D+,C,0.0059
B-,D+,C-,0.0017
B-,D+,D+,0.0046
B-,D+,D,0.0134
B-,D+,D-,0.0003
B-,D+,F,0.0013
B-,D,A,0.1625
B-,D,A-,0.3913
B-,D,B+,0.4349
B-,D,B,0.0079
B-,D,B-,0.0033
B-,D,C+,0
B-,D,C,0
B-,D,C-,0
B-,D,D+,0.0001
B-,D,D,0
B-,D,D-,0
B-,D,F,0
B-,D-,A,0.6371
B-,D-,A-,0.292
B-,D-,B+,0.0033
B-,D-,B,0.0426
B-,D-,B-,0.0239
B-,D-,C+,0.001
B-,D-,C,0.0001
B-,D-,C-,0
B-,D-,D+,0
B-,D-,D,0
B-,D-,D-,0
B-,D-,F,0
B-,F,A,0.586
B-,F,A-,0.2482
B-,F,B+,0.0787
B-,F,B,0.0434
B-,F,B-,0.0036
B-,F,C+,0.03
B-,F,C,0.0057
B-,F,C-,0.0025
B-,F,D+,0.0008
B-,F,D,0.0005
B-,F,D-,0.0006
B-,F,F,0
C+,A,A,0.2795
C+,A,A-,0.6005
C+,A,B+,0.0148
C+,A,B,0.0098
C+,A,B-,0.0615
C+,A,C+,0.0073
C+,A,C,0.021
C+,A,C-,0.0029
C+,A,D+,0
C+,A,D,0.0022
C+,A,D-,0.0001
C+,A,F,0.0004
C+,A-,A,0.469
C+,A-,A-,0.5241
C+,A-,B+,0.0029
C+,A-,B,0.0001
C+,A-,B-,0.002
C+,A-,C+,0.0018
C+,A-,C,0.0001
C+,A-,C-,0
C+,A-,D+,0
C+,A-,D,0
C+,A-,D-,0
C+,A-,F,0
C+,B+,A,0.3753
C+,B+,A-,0.4873
C+,B+,B+,0.0039
C+,B+,B,0.0655
C+,B+,B-,0.0177
C+,B+,C+,0.0266
C+,B+,C,0.0193
C+,B+,C-,0.0019
C+,B+,D+,0.0023
C+,B+,D,0
C+,B+,D-,0.0002
C+,B+,F,0
C+,B,A,0.2807
C+,B,A-,0.6878
C+,B,B+,0.0198
C+,B,B,0.01
C+,B,B-,0.0016
C+,B,C+,0
C+,B,C,0.0001
C+,B,C-,0
C+,B,D+,0
C+,B,D,0
C+,B,D-,0
C+,B,F,0
C+,B-,A,0.8095
C+,B-,A-,0.1285
C+,B-,B+,0.0215
C+,B-,B,0.0337
C+,B-,B-,0.0045
C+,B-,C+,0.0005
C+,B-,C,0
C+,B-,C-,0.0016
C+,B-,D+,0
C+,B-,D,0.0001
C+,B-,D-,0.0001
C+,B-,F,0
C+,C+,A,0.3728
C+,C+,A-,0.18
C+,C+,B+,0.2474
C+,C+,B,0.0181
C+,C+,B-,0.0876
C+,C+,C+,0.0092
C+,C+,C,0.007
C+,C+,C-,0.0186
C+,C+,D+,0.0579
C+,C+,D,0.0014
C+,C+,D-,0
C+,C+,F,0
C+,C,A,0.1681
C+,C,A-,0.5836
C+,C,B+,0.0602
C+,C,B,0.0765
C+,C,B-,0.1043
C+,C,C+,0.0003
C+,C,C,0.0034
C+,C,C-,0.0034
C+,C,D+,0.0002
C+,C,D,0
C+,C,D-,0
C+,C,F,0
C+,C-,A,0.8104
C+,C-,A-,0.1785
C+,C-,B+,0.0062
C+,C-,B,0.0022
C+,C-,B-,0.0024
C+,C-,C+,0.0002
C+,C-,C,0
C+,C-,C-,0.0001
C+,C-,D+,0
C+,C-,D,0
C+,C-,D-,0
C+,C-,F,0
C+,D+,A,0.018
C+,D+,A-,0.2298
C+,D+,B+,0.4757
C+,D+,B,0.1648
C+,D+,B-,0.0406
C+,D+,C+,0.0587
C+,D+,C,0.0047
C+,D+,C-,0.0065
C+,D+,D+,0.0012
C+,D+,D,0
C+,D+,D-,0
C+,D+,F,0
C+,D,A,0.7313
C+,D,A-,0.1359
C+,D,B+,0.1245
C+,D,B,0.0051
C+,D,B-,0.0025
C+,D,C+,0.0002
C+,D,C,0.0001
C+,D,C-,0
C+,D,D+,0
C+,D,D,0.0003
C+,D,D-,0.0001
C+,D,F,0
C+,D-,A,0.0972
C+,D-,A-,0.8667
C+,D-,B+,0.0132
C+,D-,B,0.0024
C+,D-,B-,0.012
C+,D-,C+,0.0069
C+,D-,C,0.0007
C+,D-,C-,0.0002
C+,D-,D+,0.0006
C+,D-,D,0.0001
C+,D-,D-,0
C+,D-,F,0
C+,F,A,0.87
C+,F,A-,0.0723
C+,F,B+,0.0403
C+,F,B,0.0154
C+,F,B-,0.0006
C+,F,C+,0.0001
C+,F,C,0.0003
C+,F,C-,0.0006
C+,F,D+,0
C+,F,D,0.0001
C+,F,D-,0.0003
C+,F,F,0
C,A,A,0.244
C,A,A-,0.1921
C,A,B+,0.3784
C,A,B,0.1003
C,A,B-,0.0356
C,A,C+,0.0082
C,A,C,0.0304
C,A,C-,0.0038
C,A,D+,0.0025
C,A,D,0.0038
C,A,D-,0.0006
C,A,F,0.0003
C,A-,A,0.8262
C,A-,A-,0.024
C,A-,B+,0.0242
C,A-,B,0.0525
C,A-,B-,0.0598
C,A-,C+,0.0112
C,A-,C,0.0003
C,A-,C-,0.001
C,A-,D+,0.0008
C,A-,D,0
C,A-,D-,0
C,A-,F,0
C,B+,A,0.1943
C,B+,A-,0.4214
C,B+,B+,0.0081
C,B+,B,0.0042
C,B+,B-,0.3611
C,B+,C+,0.0034
C,B+,C,0.0011
C,B+,C-,0.002
C,B+,D+,0.0041
C,B+,D,0.0001
C,B+,D-,0.0001
C,B+,F,0.0001
C,B,A,0.9892
C,B,A-,0.0013
C,B,B+,0.0009
C,B,B,0.0025
C,B,B-,0.0035
C,B,C+,0.0015
C,B,C,0.0001
C,B,C-,0.0002
C,B,D+,0.0002
C,B,D,0.0001
C,B,D-,0.0001
C,B,F,0.0004
C,B-,A,0.1956
C,B-,A-,0.3383
C,B-,B+,0.331
C,B-,B,0.1068
C,B-,B-,0.025
C,B-,C+,0.0022
C,B-,C,0.0001
C,B-,C-,0.0007
C,B-,D+,0
C,B-,D,0
C,B-,D-,0
C,B-,F,0.0003
C,C+,A,0.955
C,C+,A-,0.0025
C,C+,B+,0.0096
C,C+,B,0.0256
C,C+,B-,0.0026
C,C+,C+,0.0014
C,C+,C,0.0033
C,C+,C-,0
C,C+,D+,0
C,C+,D,0
C,C+,D-,0
C,C+,F,0
C,C,A,0.9387
C,C,A-,0.0217
C,C,B+,0.0253
C,C,B,0.0113
C,C,B-,0.0015
C,C,C+,0
C,C,C,0.0012
C,C,C-,0
C,C,D+,0.0003
C,C,D,0
C,C,D-,0
C,C,F,0
C,C-,A,0.2506
C,C-,A-,0.526
C,C-,B+,0.1423
C,C-,B,0.0054
C,C-,B-,0.0692
C,C-,C+,0.0064
C,C-,C,0.0001
C,C-,C-,0
C,C-,D+,0
C,C-,D,0
C,C-,D-,0
C,C-,F,0
C,D+,A,0.0339
C,D+,A-,0.8938
C,D+,B+,0.0077
C,D+,B,0.0205
C,D+,B-,0.023
C,D+,C+,0.0193
C,D+,C,0.0005
C,D+,C-,0.001
C,D+,D+,0
C,D+,D,0.0003
C,D+,D-,0
C,D+,F,0
C,D,A,0.1376
C,D,A-,0.0016
C,D,B+,0.2323
C,D,B,0.283
C,D,B-,0.0807
C,D,C+,0.1047
C,D,C,0.0891
C,D,C-,0.0067
C,D,D+,0.0513
C,D,D,0.006
C,D,D-,0.0027
C,D,F,0.0043
C,D-,A,0.8709
C,D-,A-,0.1263
C,D-,B+,0.0012
C,D-,B,0.0009
C,D-,B-,0
C,D-,C+,0.0005
C,D-,C,0.0002
C,D-,C-,0
C,D-,D+,0
C,D-,D,0
C,D-,D-,0
C,D-,F,0
C,F,A,0.6271
C,F,A-,0.2581
C,F,B+,0.0112
C,F,B,0.0562
C,F,B-,0.0239
C,F,C+,0.0083
C,F,C,0.014
C,F,C-,0.0007
C,F,D+,0.0001
C,F,D,0.0002
C,F,D-,0
C,F,F,0.0002
C-,A,A,0.1012
C-,A,A-,0.8869
C-,A,B+,0.007
C-,A,B,0.0029
C-,A,B-,0.0014
C-,A,C+,0.0006
C-,A,C,0
C-,A,C-,0
C-,A,D+,0
C-,A,D,0
C-,A,D-,0
C-,A,F,0
C-,A-,A,0.0448
C-,A-,A-,0.3401
C-,A-,B+,0.4046
C-,A-,B,0.069
C-,A-,B-,0.0567
C-,A-,C+,0.0049
C-,A-,C,0.0236
C-,A-,C-,0.0499
C-,A-,D+,0.0028
C-,A-,D,0.002
C-,A-,D-,0.0004
C-,A-,F,0.0012
C-,B+,A,0.6573
C-,B+,A-,0.291
C-,B+,B+,0.0131
C-,B+,B,0.0317
C-,B+,B-,0.0043
C-,B+,C+,0.0005
C-,B+,C,0.0006
C-,B+,C-,0.0001
C-,B+,D+,0.0002
C-,B+,D,0.0002
C-,B+,D-,0.0004
C-,B+,F,0.0006
C-,B,A,0.6626
C-,B,A-,0.2285
C-,B,B+,0.0817
C-,B,B,0.0141
C-,B,B-,0.0097
C-,B,C+,0.0034
C-,B,C,0
C-,B,C-,0
C-,B,D+,0
C-,B,D,0
C-,B,D-,0
C-,B,F,0
C-,B-,A,0.3188
C-,B-,A-,0.6792
C-,B-,B+,0
C-,B-,B,0.0018
C-,B-,B-,0.0001
C-,B-,C+,0.0001
C-,B-,C,0
C-,B-,C-,0
C-,B-,D+,0
C-,B-,D,0
C-,B-,D-,0
C-,B-,F,0
C-,C+,A,0.2259
C-,C+,A-,0.5622
C-,C+,B+,0.0176
C-,C+,B,0.1813
C-,C+,B-,0.0002
C-,C+,C+,0.0066
C-,C+,C,0.0036
C-,C+,C-,0.0014
C-,C+,D+,0.0007
C-,C+,D,0.0003
C-,C+,D-,0.0001
C-,C+,F,0.0001
C-,C,A,0.6005
C-,C,A-,0.1616
C-,C,B+,0.0848
C-,C,B,0.1376
C-,C,B-,0.0097
C-,C,C+,0.0028
C-,C,C,0.0016
C-,C,C-,0.0002
C-,C,D+,0.0002
C-,C,D,0.001
C-,C,D-,0
C-,C,F,0
C-,C-,A,0.125
C-,C-,A-,0.3418
C-,C-,B+,0.4061
C-,C-,B,0.0895
C-,C-,B-,0.002
C-,C-,C+,0.0042
C-,C-,C,0.0234
C-,C-,C-,0.0052
C-,C-,D+,0.0002
C-,C-,D,0.0013
C-,C-,D-,0.0001
C-,C-,F,0.0012
C-,D+,A,0.6815
C-,D+,A-,0.1973
C-,D+,B+,0.0124
C-,D+,B,0.0139
C-,D+,B-,0.0402
C-,D+,C+,0.0476
C-,D+,C,0.0046
C-,D+,C-,0.0017
C-,D+,D+,0.0006
C-,D+,D,0
C-,D+,D-,0.0001
C-,D+,F,0.0001
C-,D,A,0.7301
C-,D,A-,0.1543
C-,D,B+,0.0796
C-,D,B,0.0064
C-,D,B-,0.007
C-,D,C+,0.009
C-,D,C,0.0101
C-,D,C-,0.0017
C-,D,D+,0.0003
C-,D,D,0.0008
C-,D,D-,0.0003
C-,D,F,0.0004
C-,D-,A,0.8136
C-,D-,A-,0.1286
C-,D-,B+,0.0329
C-,D-,B,0.0173
C-,D-,B-,0.0039
C-,D-,C+,0.0036
C-,D-,C,0.0001
C-,D-,C-,0
C-,D-,D+,0
C-,D-,D,0
C-,D-,D-,0
C-,D-,F,0
C-,F,A,0.0521
C-,F,A-,0.3771
C-,F,B+,0.5289
C-,F,B,0.0291
C-,F,B-,0
C-,F,C+,0.0112
C-,F,C,0.0012
C-,F,C-,0.0001
C-,F,D+,0.0001
C-,F,D,0
C-,F,D-,0.0001
C-,F,F,0.0001
D+,A,A,0.667
D+,A,A-,0.0441
D+,A,B+,0.0621
