Course1,Course2,Course3,Course4,Course5,Course6,Event Probability
B+,B-,D+,C+,F,F,0.572254336
B+,B-,D,C,A,A,0.202595932
B+,B-,D,C,A,A-,0.3452282872
B+,B-,D,C,A-,B+,0.4591846691
B+,B-,D,C,A-,B,0.6573177204
B+,B-,D,C-,B+,B-,0.9475202571
B+,B-,D,C-,B+,C+,0.7186467667
B+,B-,D,C-,B,C,0.7023213687
B+,B-,D,C-,B,C-,0.5805037691
B+,C+,D-,D+,B-,D+,0.09783992166
B+,C+,D-,D+,B-,D,0.9815487866
B+,C+,D-,D+,C+,D-,0.09089581078
B+,C+,D-,D+,C+,F,0.4947078213
B+,C+,D-,D,C,A,0.886849448
B+,C+,D-,D,C,A-,0.6463269305
B+,C+,D-,D,C-,B+,0.2728946547
B+,C+,D-,D,C-,B,0.7885395917
B+,C+,F,D-,D+,B-,0.3575966437
B+,C+,F,D-,D+,C+,0.4580128151
B+,C+,F,D-,D,C,0.1040098347
B+,C+,F,D-,D,C-,0.9690124969
B+,C+,F,F,D-,D+,0.4172801901
B+,C+,F,F,D-,D,0.5514152856
B+,C+,F,F,F,D-,0.1082789391
B+,C+,F,F,F,F,0.4558701739
B,C,A,A,A,A,0.4050682724
B,C,A,A,A,A-,0.8753798518
B,C,A,A,A-,B+,0.8170301759
B,C,A,A,A-,B,0.05735629388
B,C,A,A-,B+,B-,0.7060836912
B,C,A,A-,B+,C+,0.6505573256
B,C,A,A-,B,C,0.4099904486
B,C,A,A-,B,C-,0.7107100554
B,C,A-,B+,B-,D+,0.8593398238
B,C,A-,B+,B-,D,0.2061714453
B,C,A-,B+,C+,D-,0.3880792737
B,C,A-,B+,C+,F,0.66539634
B,C,A-,B,C,A,0.5537008771
B,C,A-,B,C,A-,0.4016259467
B,C,A-,B,C-,B+,0.8443252268
B,C,A-,B,C-,B,0.6630562754
B,C-,B+,B-,D+,B-,0.8834790261
B,C-,B+,B-,D+,C+,0.9803945016
B,C-,B+,B-,D,C,0.2675058539
B,C-,B+,B-,D,C-,0.8253901068
B,C-,B+,C+,D-,D+,0.2440699985
B,C-,B+,C+,D-,D,0.6264869666
B,C-,B+,C+,F,D-,0.7125259505
B,C-,B+,C+,F,F,0.8996614914
B,C-,B,C,A,A,0.288068022
B,C-,B,C,A,A-,0.1978881571
B,C-,B,C,A-,B+,0.6022130922
B,C-,B,C,A-,B,0.2312380441
B,C-,B,C-,B+,B-,0.4335893288
B,C-,B,C-,B+,C+,0.5967163584
B,C-,B,C-,B,C,0.3871233659
B,C-,B,C-,B,C-,0.3335604059
B-,D+,B-,D+,B-,D+,0.519073723
B-,D+,B-,D+,B-,D,0.002450325335
B-,D+,B-,D+,C+,D-,0.7831146188
B-,D+,B-,D+,C+,F,0.2081578221
B-,D+,B-,D,C,A,0.3326213907
B-,D+,B-,D,C,A-,0.7424253405
B-,D+,B-,D,C-,B+,0.3308580798
B-,D+,B-,D,C-,B,0.6308056223
B-,D+,C+,D-,D+,B-,0.9089625022
B-,D+,C+,D-,D+,C+,0.902900403
B-,D+,C+,D-,D,C,0.5771238148
B-,D+,C+,D-,D,C-,0.4646458793
B-,D+,C+,F,D-,D+,0.6834449779
B-,D+,C+,F,D-,D,0.894349714
B-,D+,C+,F,F,D-,0.2645891466
B-,D+,C+,F,F,F,0.6870692899
B-,D,C,A,A,A,0.8199660352
B-,D,C,A,A,A-,0.5762342306
B-,D,C,A,A-,B+,0.5350833377
B-,D,C,A,A-,B,0.2243831823
B-,D,C,A-,B+,B-,0.2885611914
B-,D,C,A-,B+,C+,0.2193594026
B-,D,C,A-,B,C,0.300595998
B-,D,C,A-,B,C-,0.8767666369
B-,D,C-,B+,B-,D+,0.5584041346
B-,D,C-,B+,B-,D,0.5380275757
B-,D,C-,B+,C+,D-,0.6170406759
B-,D,C-,B+,C+,F,0.5857406801
B-,D,C-,B,C,A,0.09325967512
B-,D,C-,B,C,A-,0.2595449652
B-,D,C-,B,C-,B+,0.1076792398
B-,D,C-,B,C-,B,0.04735774596
C+,D-,D+,B-,D+,B-,0.1889709326
C+,D-,D+,B-,D+,C+,0.2152443486
C+,D-,D+,B-,D,C,0.2262762623
C+,D-,D+,B-,D,C-,0.2065414273
C+,D-,D+,C+,D-,D+,0.07635135412
C+,D-,D+,C+,D-,D,0.735036687
C+,D-,D+,C+,F,D-,0.4244675256
C+,D-,D+,C+,F,F,0.4814839153
C+,D-,D,C,A,A,0.6278907405
C+,D-,D,C,A,A-,0.2066059282
C+,D-,D,C,A-,B+,0.09349012978
C+,D-,D,C,A-,B,0.6617351763
C+,D-,D,C-,B+,B-,0.4529739988
C+,D-,D,C-,B+,C+,0.02071316092
C+,D-,D,C-,B,C,0.4873358303
C+,D-,D,C-,B,C-,0.2995945502
C+,F,D-,D+,B-,D+,0.6438499037
C+,F,D-,D+,B-,D,0.7656777856
C+,F,D-,D+,C+,D-,0.7025537081
C+,F,D-,D+,C+,F,0.07164173824
C+,F,D-,D,C,A,0.9433767641
C+,F,D-,D,C,A-,0.4569549276
C+,F,D-,D,C-,B+,0.1893419551
C+,F,D-,D,C-,B,0.02572115984
C+,F,F,D-,D+,B-,0.6456105107
C+,F,F,D-,D+,C+,0.7918295684
C+,F,F,D-,D,C,0.1992326029
C+,F,F,D-,D,C-,0.8484196332
C+,F,F,F,D-,D+,0.1115898704
C+,F,F,F,D-,D,0.9046001074
C+,F,F,F,F,D-,0.03658744062
C+,F,F,F,F,F,0.2890545745
C,A,A,A,A,A,0.3852127149
C,A,A,A,A,A-,0.8642249736
C,A,A,A,A-,B+,0.9742869933
C,A,A,A,A-,B,0.6584159049
C,A,A,A-,B+,B-,0.02788599839
C,A,A,A-,B+,C+,0.2042577215
C,A,A,A-,B,C,0.2184088658
C,A,A,A-,B,C-,0.883981609
C,A,A-,B+,B-,D+,0.9556716686
C,A,A-,B+,B-,D,0.1039977733
C,A,A-,B+,C+,D-,0.3623555555
C,A,A-,B+,C+,F,0.9480536597
C,A,A-,B,C,A,0.7589392457
C,A,A-,B,C,A-,0.450135238
C,A,A-,B,C-,B+,0.3578060585
C,A,A-,B,C-,B,0.6612373393
C,A-,B+,B-,D+,B-,0.7120751802
C,A-,B+,B-,D+,C+,0.899769972
C,A-,B+,B-,D,C,0.1480295126
C,A-,B+,B-,D,C-,0.6309133733
C,A-,B+,C+,D-,D+,0.4395881951
C,A-,B+,C+,D-,D,0.2385365706
C,A-,B+,C+,F,D-,0.7585134099
C,A-,B+,C+,F,F,0.9728295818
C,A-,B,C,A,A,0.9949886384
C,A-,B,C,A,A-,0.7816686001
C,A-,B,C,A-,B+,0.82052271
C,A-,B,C,A-,B,0.7836643412
C,A-,B,C-,B+,B-,0.9301092311
C,A-,B,C-,B+,C+,0.3011867008
C,A-,B,C-,B,C,0.2151203968
C,A-,B,C-,B,C-,0.6433914542
C-,B+,B-,D+,B-,D+,0.7850733207
C-,B+,B-,D+,B-,D,0.9789972491
C-,B+,B-,D+,C+,D-,0.7683441898
C-,B+,B-,D+,C+,F,0.4485024126
C-,B+,B-,D,C,A,0.3129062771
C-,B+,B-,D,C,A-,0.1835391728
C-,B+,B-,D,C-,B+,0.7026477631
C-,B+,B-,D,C-,B,0.6906183146
C-,B+,C+,D-,D+,B-,0.667824161
C-,B+,C+,D-,D+,C+,0.4467186682
C-,B+,C+,D-,D,C,0.855379544
C-,B+,C+,D-,D,C-,0.8897504947
C-,B+,C+,F,D-,D+,0.7325233791
C-,B+,C+,F,D-,D,0.8782228042
C-,B+,C+,F,F,D-,0.511985501
C-,B+,C+,F,F,F,0.2674456968
C-,B,C,A,A,A,0.7373336684
C-,B,C,A,A,A-,0.395904593
C-,B,C,A,A-,B+,0.06978706483
C-,B,C,A,A-,B,0.9022776328
C-,B,C,A-,B+,B-,0.3328862849
C-,B,C,A-,B+,C+,0.5737838084
C-,B,C,A-,B,C,0.6475988242
C-,B,C,A-,B,C-,0.5486239044
C-,B,C-,B+,B-,D+,0.3179877501
C-,B,C-,B+,B-,D,0.613309209
C-,B,C-,B+,C+,D-,0.1871151592
C-,B,C-,B+,C+,F,0.01939339841
C-,B,C-,B,C,A,0.2956792014
C-,B,C-,B,C,A-,0.9288795463
C-,B,C-,B,C-,B+,0.5539085782
C-,B,C-,B,C-,B,0.5343460828
D+,B-,D+,B-,D+,B-,0.6329999597
D+,B-,D+,B-,D+,C+,0.1052222793
D+,B-,D+,B-,D,C,0.6390472159
D+,B-,D+,B-,D,C-,0.717873607
D+,B-,D+,C+,D-,D+,0.2337631676
D+,B-,D+,C+,D-,D,0.5320802298
D+,B-,D+,C+,F,D-,0.4867521385
D+,B-,D+,C+,F,F,0.9935856341
D+,B-,D,C,A,A,0.7986905131
D+,B-,D,C,A,A-,0.85075842
D+,B-,D,C,A-,B+,0.02918016175
D+,B-,D,C,A-,B,0.9677735393
D+,B-,D,C-,B+,B-,0.4435420396
D+,B-,D,C-,B+,C+,0.4574346367
D+,B-,D,C-,B,C,0.09633111494
D+,B-,D,C-,B,C-,0.01979935186
D+,C+,D-,D+,B-,D+,0.7734159586
D+,C+,D-,D+,B-,D,0.6997385618
D+,C+,D-,D+,C+,D-,0.9872429341
D+,C+,D-,D+,C+,F,0.7246850072
D+,C+,D-,D,C,A,0.7701826533
D+,C+,D-,D,C,A-,0.07595654189
D+,C+,D-,D,C-,B+,0.0380521442
D+,C+,D-,D,C-,B,0.9216525684
D+,C+,F,D-,D+,B-,0.14005612
D+,C+,F,D-,D+,C+,0.7003200122
D+,C+,F,D-,D,C,0.3031610813
D+,C+,F,D-,D,C-,0.2120937001
D+,C+,F,F,D-,D+,0.08959504827
D+,C+,F,F,D-,D,0.5331874677
D+,C+,F,F,F,D-,0.6776670967
D+,C+,F,F,F,F,0.4214225331
D,C,A,A,A,A,0.8509644903
D,C,A,A,A,A-,0.3915313006
D,C,A,A,A-,B+,0.5323740103
D,C,A,A,A-,B,0.09149266699
D,C,A,A-,B+,B-,0.6610793701
D,C,A,A-,B+,C+,0.5529925565
D,C,A,A-,B,C,0.2071186433
D,C,A,A-,B,C-,0.3837362183
D,C,A-,B+,B-,D+,0.3142880158
D,C,A-,B+,B-,D,0.8458680175
D,C,A-,B+,C+,D-,0.513810728
D,C,A-,B+,C+,F,0.8679084383
D,C,A-,B,C,A,0.8545454478
D,C,A-,B,C,A-,0.4777455781
D,C,A-,B,C-,B+,0.7374977698
D,C,A-,B,C-,B,0.5472988826
D,C-,B+,B-,D+,B-,0.4505629774
D,C-,B+,B-,D+,C+,0.4971059433
D,C-,B+,B-,D,C,0.4919305578
D,C-,B+,B-,D,C-,0.1284961126
D,C-,B+,C+,D-,D+,0.006211343106
D,C-,B+,C+,D-,D,0.7050592409
D,C-,B+,C+,F,D-,0.1855194009
D,C-,B+,C+,F,F,0.9822696554
D,C-,B,C,A,A,0.598492887
D,C-,B,C,A,A-,0.03848783373
D,C-,B,C,A-,B+,0.7842351032
D,C-,B,C,A-,B,0.461859486
D,C-,B,C-,B+,B-,0.4066872315
D,C-,B,C-,B+,C+,0.9312172897
D,C-,B,C-,B,C,0.01992226638
D,C-,B,C-,B,C-,0.2459401235
D-,D+,B-,D+,B-,D+,0.3988148443
D-,D+,B-,D+,B-,D,0.9264397177
D-,D+,B-,D+,C+,D-,0.1856576783
D-,D+,B-,D+,C+,F,0.1557523488
D-,D+,B-,D,C,A,0.6753506832
D-,D+,B-,D,C,A-,0.8614644468
D-,D+,B-,D,C-,B+,0.1841992681
D-,D+,B-,D,C-,B,0.4593727693
D-,D+,C+,D-,D+,B-,0.03516043012
D-,D+,C+,D-,D+,C+,0.2749735746
D-,D+,C+,D-,D,C,0.5512363068
D-,D+,C+,D-,D,C-,0.02081773602
D-,D+,C+,F,D-,D+,0.02491984409
D-,D+,C+,F,D-,D,0.2973105384
D-,D+,C+,F,F,D-,0.7620648316
D-,D+,C+,F,F,F,0.7776547304
D-,D,C,A,A,A,0.4608175567
D-,D,C,A,A,A-,0.1759320292
D-,D,C,A,A-,B+,0.2484767984
D-,D,C,A,A-,B,0.9380206961
D-,D,C,A-,B+,B-,0.1701304285
D-,D,C,A-,B+,C+,0.761004973
D-,D,C,A-,B,C,0.2020652091
D-,D,C,A-,B,C-,0.9764238253
D-,D,C-,B+,B-,D+,0.4902993745
D-,D,C-,B+,B-,D,0.7302316724
D-,D,C-,B+,C+,D-,0.4208118797
D-,D,C-,B+,C+,F,0.9774313132
D-,D,C-,B,C,A,0.8844232108
D-,D,C-,B,C,A-,0.06733801275
D-,D,C-,B,C-,B+,0.1677381074
D-,D,C-,B,C-,B,0.1273226506
F,D-,D+,B-,D+,B-,0.884626635
F,D-,D+,B-,D+,C+,0.3252612032
F,D-,D+,B-,D,C,0.2535629534
F,D-,D+,B-,D,C-,0.1860141057
F,D-,D+,C+,D-,D+,0.4585477703
F,D-,D+,C+,D-,D,0.5029247729
F,D-,D+,C+,F,D-,0.3297278815
F,D-,D+,C+,F,F,0.5850372104
F,D-,D,C,A,A,0.8092296291
F,D-,D,C,A,A-,0.9435905614
F,D-,D,C,A-,B+,0.6838102923
F,D-,D,C,A-,B,0.3920799031
F,D-,D,C-,B+,B-,0.5649891399
F,D-,D,C-,B+,C+,0.5231285605
F,D-,D,C-,B,C,0.6662626611
F,D-,D,C-,B,C-,0.7585762182
F,F,D-,D+,B-,D+,0.2933760349
F,F,D-,D+,B-,D,0.5381473725
F,F,D-,D+,C+,D-,0.2455784588
F,F,D-,D+,C+,F,0.6240566305
F,F,D-,D,C,A,0.2821234479
F,F,D-,D,C,A-,0.1267794814
F,F,D-,D,C-,B+,0.0883993303
F,F,D-,D,C-,B,0.3894474799
F,F,F,D-,D+,B-,0.5700308462
F,F,F,D-,D+,C+,0.7590168826
F,F,F,D-,D,C,0.9917427032
F,F,F,D-,D,C-,0.9912352714
F,F,F,F,D-,D+,0.2820087933
F,F,F,F,D-,D,0.3188447692
F,F,F,F,F,D-,0.4564429581
F,F,F,F,F,F,0.3093873122
