id,first term gpa,first term standing,second term gpa,second term standing,third term gpa,third term standing,fourth term gpa,fourth term standing,fifth term gpa,fifth term standing,sixth term gpa,sixth term standing,seventh term gpa,seventh term standing,graduated
761,2.66,Good,2.92,Good,1.14,Good,1.06,Probation,1.469230769,Probation,2.814285714,Good,3.238461538,Good,1
800,2.94,Good,3.175,Good,3.05,Good,3.163157895,Good,2.683333333,Good,3.427777778,Good,3.116666667,Good,1
825,2.85625,Good,1.991666667,Good,3.052941176,Good,2.6,Good,1,Good,3.0125,Good,2.74,Good,1
839,3.75625,Good,3.66,Good,3.25,Good,4,NA,3.347058824,Good,3.50625,Good,3.8125,Good,1
882,3.6875,Good,3.535294118,Good,2.63125,Good,3.25,Good,1.75,Good,2.25,Good,2.6,Good,1
890,3.2,Good,3.5375,Good,1.405882353,Good,2.34,Good,3.442857143,Good,2.38,Good,2.94,Good,1
970,1.4,Probation,2.125,Good,1.7,Good,2.6,Good,2.285714286,Good,2.783333333,Good,3.22,Good,1
990,2.894444444,Good,3.373333333,Good,3.1125,Good,2.986666667,Good,2.825,Good,3.4,Good,4,Good,1
1008,2.88,Good,2.606666667,Good,2.00625,Good,1.425,Good,1.8,Good,3.107142857,Good,3,Good,1
1078,3.571428571,Good,3.461538462,Good,3,Good,2.75,Good,3.076923077,Good,3.25,Good,2.915384615,Good,1
1103,4,Good,3.75,Good,4,Good,3.907692308,Good,3.733333333,Good,4,Good,4,Good,1
1183,2.533333333,Good,2.076923077,Good,2.76,Good,2.1,Good,2.74,Good,2.26,Good,1.54,Good,1
1186,1.35,Probation,1.75,Probation,1.807142857,Good,3.333333333,Good,2.25,Good,0.2,Dismissed,2.35,NA,1
1196,3.235294118,Good,3.25,Good,3.833333333,Good,3.6,Good,3.25,Good,1.642857143,Good,0.857142857,Good,1
1199,2.4375,Good,2.5,Good,2.5,Good,2.2,Good,2.229411765,Good,2.976923077,Good,3.018181818,Good,1
1225,2.05,Good,2.226666667,Good,2.564705882,Good,2.81875,Good,2.32,Good,3,Good,2.88,Good,1
1235,2.266666667,Good,1.571428571,Probation,2.923076923,Good,1.166666667,Good,1.75,Good,3.4,Good,3.25,Good,1
1278,1.05625,Probation,1.61,Probation,2.246153846,Probation,3.076923077,Good,3.15,Good,2.4,Good,1.9,Good,0
1315,2.74375,Good,1.935714286,Good,2.982352941,Good,2.7,Good,3.30625,Good,4,Good,4,Good,1
1340,3.664705882,Good,3.4125,Good,3.08125,Good,3.427777778,Good,3.664705882,Good,3.721428571,Good,4,Good,1
1345,3.857142857,Good,3.352941176,Good,3.394117647,Good,3.86,Good,3.86,Good,3.575,Good,3.925,Good,1
1378,1.35,Probation,1.825,Probation,2.846153846,Good,1,Probation,1.25,Probation,1.825,Dismissed,2.215384615,Probation,0
1423,1.825,Good,0.992307692,Dismissed,3,Good,3.030769231,Good,1.564285714,Good,1.85,Good,2.675,Good,1
1455,1.352941176,Probation,2.4,Good,1.294117647,Good,2.5,Good,2.5,Good,2.692307692,Good,0.92,Dismissed,0
1496,3.373333333,Good,3.253333333,Good,2.78,Good,2.8875,Good,2.64375,Good,2.74375,Good,3.376923077,Good,1
1579,2.666666667,Good,1.866666667,Good,2.214285714,Good,1.214285714,Good,2.5,Good,2.142857143,Good,3,Good,1
1604,2.886666667,Good,2.726666667,Good,2.188235294,Good,2.411764706,Good,3.375,Good,3.228571429,Good,2.161538462,Good,1
1614,3.466666667,Good,3.066666667,Good,2.375,Good,3.2,Good,3.235294118,Good,2.994117647,Good,3.253846154,Good,1
1640,2.72,Good,2.14,Good,3.25,Good,2.2,Good,2.883333333,Good,2.283333333,Good,2.994117647,Good,1
1691,3.54,Good,3.4,Good,3.305882353,Good,3.5,Good,3.823529412,Good,3.6,Good,3.7,Good,1
1704,2.875,Good,3.071428571,Good,3.841176471,Good,3.383333333,Good,3.34,Good,3.116666667,Good,3.9,Good,1
1775,3,Good,2.470588235,Good,2.161538462,Good,2.35625,Good,2.358823529,Good,1.86,Good,3.175,Good,1
1832,1.714285714,Good,3,Good,2,Good,2.5,Good,1.825,Good,2,Good,2.206666667,Good,1
1857,2.9125,Good,2.70625,Good,2.82,Good,2.74375,Good,3.075,Good,2.8,Good,3.19375,Good,1
1891,2.266666667,Good,3.076923077,Dismissed,1.529411765,Dismissed,2.4,Good,2.375,Good,3.22,Good,2.32,Good,1
1904,2.882352941,Good,2.8,Good,2.153846154,Good,3.133333333,Good,2.714285714,Good,2.285714286,Good,2.175,Good,1
1909,1.236363636,Probation,2.575,Probation,1.59,Dismissed,3.075,Good,3.26,Good,3.35,Good,3.325,Good,1
1930,3.1,Good,2.766666667,Good,2.282352941,Good,2.4,Good,2.0375,Good,2.4,Good,2.952941176,Good,1
1954,3.69375,Good,3.623076923,Good,3.64375,Good,3.721428571,Good,3.24375,Good,3.08,Good,3.525,Good,1
1967,4,Good,3.947058824,Good,3.85,Good,3.94375,Good,3.876470588,Good,3.8125,Good,3.4,Good,1
1999,3.406666667,Good,3.69375,Good,3.72,Good,3.68125,Good,3.894117647,Good,3.86875,Good,3.53125,Good,1
2018,2.3125,Good,2.9,Dismissed,3.65,Good,2.425,Good,1.853846154,Good,0.925,Good,0.433333333,Dismissed,0
2057,3.34,Good,3.75625,Good,4,Good,3.783333333,Good,3.4,Good,3.364705882,Good,3.08,Good,1
2074,1.653846154,Probation,3.5,Good,2,Good,3.2,Good,3.28,Good,3.935714286,Good,3.91,Good,1
2097,3.08,Good,2.60625,Good,2.423529412,Good,3.25,Good,3.45,Good,3,Good,3.75625,Good,1
2115,3.066666667,Good,3.123076923,Good,1.623076923,Good,2.74,Good,2.629411765,Good,2.925,Good,2.42,Good,1
2125,3.60625,Good,2.493333333,Good,2.353846154,Good,2.066666667,Good,2.30625,Good,2.825,Good,3.7,Good,1
2130,2.521428571,Good,2.18,Good,3.4,Good,2,Good,3.2,Good,3.28,Good,3.228571429,Good,1
2137,3.19375,Good,2.658333333,Good,1.7,Good,3.176470588,Good,3.68125,Good,2.8125,Good,3.225,Good,1
2145,1.741666667,Good,1.933333333,Dismissed,1.85,Dismissed,2.446153846,Dismissed,2.825,Probation,2.075,Good,1,Good,1
2197,2.2,Probation,1.4,Dismissed,3,Probation,2,Probation,4,NA,3.6,Dismissed,3.32,Good,1
2208,2.253333333,Good,3.064285714,Good,3.175,Good,2.525,Good,3.4,Good,3.26,Good,2.86,Good,1
2210,3.8125,Good,3.92,Good,3.8875,Good,3.86875,Good,3.86,Good,4,Good,4,Good,1
2240,3.117647059,Good,2.469230769,Good,1.707142857,Good,1.925,Good,3.264705882,Good,3.15,Good,3.00625,Good,1
2255,3.85,Dismissed,3.085714286,Good,2.65,Good,3.453846154,Good,2.838461538,Good,1.766666667,Good,2.566666667,Good,1
2270,2.993333333,Good,2.9,Good,2.8125,Good,2.68,Good,2.5,Good,3.09375,Good,3.266666667,Good,1
2307,3.85,NA,2,Good,2.907692308,Good,2.142857143,Good,2.3,Good,3.446153846,Good,3.3,Good,1
2346,2.714285714,Good,3.2,Good,2.307692308,Good,3.5,Good,3.6,Good,3.571428571,Good,3.45,Good,1
2358,2.18,Good,3.18,Good,3.884615385,Good,2.15,Good,1.8,Good,3.7,Good,2.953333333,Good,1
2367,2.916666667,Good,2.166666667,Good,3.142857143,Good,1.9,Good,2.171428571,Good,2.566666667,Good,2.233333333,Good,1
2405,2.133333333,Good,2.6,Good,2.176470588,Good,3.2,Good,2.642857143,Good,2.294117647,Good,3.325,Good,1
2433,3.066666667,Good,2.875,Good,1.8,Good,2.888888889,Good,3,Good,2.75,Good,2.3125,Good,1
2448,3.28125,Good,3.05,Good,2.427272727,Good,3,Good,3.630769231,Good,3.2,Good,3.31875,Good,1
2450,2.866666667,Good,2.5,Good,2.25,Good,2,Good,2.75,Good,1.411764706,Good,3,Good,1
2455,3.26,Good,2.866666667,Good,3.6,Good,2.828571429,Good,1.538461538,Good,3.166666667,Good,3.382352941,Good,1
2474,3.428571429,Good,3.785714286,Good,3.8125,Good,3.8125,Good,3.86875,Good,3.914285714,Good,4,Good,1
2492,2.169230769,Good,1.576923077,Probation,2.035714286,Good,1.230769231,Probation,1.414285714,Good,0.75,Dismissed,1.65,Dismissed,0
2527,3,Good,3,Good,3.369230769,Good,3.00625,Good,3.06875,Good,2.857142857,Good,2.607692308,Good,1
2545,3.466666667,Good,3.058823529,Good,3.0625,Good,1.514285714,Good,1.864285714,Good,2.829411765,Good,1.207692308,Good,1
2551,2.566666667,Good,3.392307692,Good,3.135714286,Good,2.761538462,Good,2.784615385,Good,2.735714286,Good,2.728571429,Good,1
2567,3.6,Good,3.214285714,Good,3.325,Good,3.033333333,Good,3.242857143,Good,2.50625,Good,3.288235294,Good,1
2579,3.005882353,Good,3.215384615,Good,2.146153846,Good,3.74,Good,3.23125,Good,3.28,Good,3.94,Good,1
2638,1.75,Probation,1.425,Probation,2.9,Good,2.9,Good,2.6,Good,2.433333333,Good,1.8,Good,1
2669,3.576470588,Good,3.61875,Good,3.464705882,Good,4,NA,3.392307692,Good,3.266666667,Good,4,NA,1
2676,2.769230769,Good,3,Good,3.094117647,Good,2.633333333,Good,2.591666667,Good,1.915384615,Good,2,Good,1
2694,3.375,Good,3.066666667,Good,2,Good,3.375,Good,3,Good,2.270588235,Good,3.3375,Good,1
2738,1.75,Probation,3.146153846,Good,3,Good,2.594117647,Good,2.5,Good,2.671428571,Good,1.761538462,Good,1
2748,2.2375,Good,2.883333333,Good,2.5,Good,2.866666667,Good,0.692307692,Dismissed,2.575,Good,2.453333333,Good,1
2760,1.5,Probation,2.5,Good,2.5,Good,2.523076923,Good,2.692307692,Good,1.623076923,Good,2.9,Good,1
2780,2.823529412,Good,2.647058824,Good,2.36,Good,3.06,Good,3.058823529,Good,3.06,Good,3.14,Good,1
2797,2.933333333,Good,2.769230769,Good,3.176470588,Good,2.8125,Good,2.764705882,Good,2.25,Good,1.058823529,Good,0
2828,3.8,Good,3.6875,Good,3.375,Good,3.25,Good,3.605555556,Good,3.46,Good,3.86,Good,1
2839,3.292857143,Good,3.307692308,Good,2.85,Good,2.175,Good,2.72,Good,3.257142857,Good,3.46,Good,1
2907,2.518181818,Good,2.241666667,Good,1.714285714,Good,1.372727273,Good,1.9,Good,2.68125,Good,2.572727273,Good,1
2966,3.673333333,Good,3.146666667,Good,3.327777778,Good,3.614285714,Good,3.46,Good,2.94375,Good,2.5125,Good,1
2971,0.5625,Dismissed,3.407142857,Good,2.878571429,Good,2.786666667,Good,3.385714286,Good,3.52,Good,3.58,Good,1
2979,4,Good,4,Good,4,Good,4,Good,4,Good,4,Good,4,Good,1
2993,3.642857143,Good,2.964285714,Good,2.7,Good,3,Good,2.80625,Good,2.52,Good,3.5125,Good,1
3003,3.4,Good,1.758333333,Good,3.247058824,Good,2.321428571,Good,1.925,Good,3.347058824,Good,3.684210526,Good,1
3014,2.673333333,Good,3.682352941,Good,2.986666667,Good,2.861538462,Good,3.1875,Good,2.95,Good,3.193333333,Good,1
3052,2.6,Good,3.6,Good,2.176470588,Good,2.25,Good,1.833333333,Good,3.230769231,Good,3.2,Good,1
3071,2.813333333,Good,1.46,Good,2.72,Good,2.28,Good,3.36,Good,2.783333333,Good,3.49375,Good,1
3092,2.833333333,Good,2.666666667,Good,1.722222222,Good,2.8,Good,2.411764706,Good,1.666666667,Good,3.076470588,Good,1
3150,2.352941176,Good,1.692307692,Good,1.94,Good,3.14,Good,3.54,Good,3.425,Good,1.935714286,Good,0
3157,3.533333333,Good,3.823529412,Good,3.8125,Good,4,Good,3.69375,Good,3.69375,Good,3.929411765,Good,1
3218,2.7,Good,2.475,Good,2.4875,Good,1.74375,Good,3.258823529,Good,3.54,Good,3.190909091,Good,1
3229,4,Good,4,Good,3.86,Good,3.94,Good,4,Good,3.82,Good,3.94375,Good,1
3283,3.083333333,Good,2.158823529,Good,2.016666667,Good,2.4,Good,3.24375,Good,3.22,Good,3.261538462,Good,1
3297,3.333333333,Good,2.469230769,Good,1.675,Good,2.884615385,Good,2.636363636,Good,1.5,Good,3.7,Good,1
3313,1.352941176,Probation,1.571428571,Good,1.928571429,Good,1.181818182,Probation,1.5,Probation,0.86,Dismissed,2.828571429,Probation,1
3334,3.333333333,Good,3.625,Good,2.833333333,Good,3,Good,2.175,Good,4,NA,2.392307692,Good,1
3337,3.26875,Good,2.26875,Good,1.128571429,Good,1.85,Good,2.08,Good,2.23125,Good,2.915384615,Good,1
3366,1.615384615,Good,0.5,Dismissed,2.084615385,Probation,2.653846154,Good,2.764285714,Good,3.333333333,Good,2.423529412,Good,1
3424,2.8,Good,3.042857143,Good,2.915384615,Good,2.230769231,Good,3.071428571,Good,3.135714286,Good,3.2,Good,1
3564,3.04375,Good,2.970588235,Good,3.588235294,Good,3.2,Good,2.886666667,Good,2.983333333,Good,3.7,Good,1
3605,3.4,Good,3.533333333,Good,2.923076923,Good,2.928571429,Good,3.94375,Good,3.39375,Good,3.46,Good,1
3675,2.41875,Good,3.415384615,Good,3.358823529,Good,2.68125,Good,2.935294118,Good,2.907692308,Good,2.582352941,Good,1
3680,3.925,Good,3.83125,Good,2.944444444,Good,3.094117647,Good,2.476470588,Good,2.3,Good,3.325,Good,1
3700,3.607692308,Good,3.49375,Good,3.35,Good,3.9,Good,4,Good,3.6,Good,3.75625,Good,1
3752,2.4,Good,1.384615385,Good,2.461538462,Good,2.416666667,Good,2.538461538,Good,2.470588235,Good,2.28,Good,1
3787,3.7375,Good,3.65625,Good,3.53125,Good,3.38125,Good,2.41875,Good,2.941176471,Good,3.04375,Good,1
3794,3.73125,Good,3.7125,Good,3.382352941,Good,3.641176471,Good,3.235294118,Good,3.34,Good,2.790909091,Good,1
3795,2.625,Good,2.675,Good,1.606666667,Good,2.844444444,Good,1.13125,Good,1.80625,Good,2.22,Good,1
3801,3.4375,Good,3.133333333,Good,2.266666667,Good,1.941176471,Good,2.925,Good,2.935714286,Good,1.85,Good,1
3833,2.4,Good,3.466666667,Good,3.058823529,Good,2.76875,Good,3.352941176,Good,2.72,Good,2.5625,Good,1
3838,2.65,Good,2.44375,Good,2.38125,Good,2.546666667,Good,2.63125,Good,2.75,Good,2.6,Good,1
3856,2.533333333,Good,1.466666667,Good,2.846153846,Good,2.54,Good,2.858823529,Good,2.383333333,Good,3,Good,1
3861,1.585714286,Probation,2.015384615,Probation,1.541666667,Good,3,Good,1.078571429,Good,1.15,Good,0.607692308,Dismissed,0
3881,2.884615385,Good,2.384615385,Good,3.133333333,Good,2.04375,Good,3,Good,2.676923077,Good,3.2,Good,1
3895,3.75625,Good,3.6,Good,3.305882353,Good,3.49375,Good,2.94375,Good,3.43125,Good,3.56875,Good,1
3908,4,Good,4,Good,4,Good,4,Good,4,Good,4,Good,4,Good,1
3910,3.4375,Good,3.547058824,Good,3.358823529,Good,3.361111111,Good,3.205263158,Good,3.433333333,Good,3.770588235,Good,1
3912,3.428571429,Good,2.8,Good,3.2,Good,3.470588235,Good,4,Good,3.60625,Good,3.575,Good,1
3972,3.41875,Good,2,Good,2.8125,Good,2.2,Good,2.188235294,Good,1.35,Good,1.9,Good,1
4013,3.142857143,Good,2.647058824,Good,3.076923077,Good,2.571428571,Good,1.75,Good,2.58125,Good,3,Good,1
4017,2.75,Good,2.8125,Good,1.5625,Good,0.25,Dismissed,2.4,Good,2.083333333,Good,3.6,Good,1
4045,2.875,Good,3.285714286,Good,1.933333333,Good,1.8125,Good,2.142857143,Good,2.25,Good,1.816666667,Good,1
4052,3.6,Good,3.4,Good,3.8,Good,4,NA,2.14,Good,2,Good,3.12,Good,1
4076,2.46,Good,2.61875,Good,2.3625,Good,2.85,Good,2.886666667,Good,3.32,Good,3.46,Good,1
4116,3.2,Good,2.823529412,Good,2.764705882,Good,2.230769231,Good,2.825,Good,0.923076923,Dismissed,2.161538462,Good,1
4133,2.925,Good,3.335714286,Good,2.59375,Good,2.523529412,Good,2.511764706,Good,2.375,Good,2.4,Good,1
4135,2.428571429,Good,2.8,Good,1.625,Good,2.4,Good,3.307692308,Good,3,Good,2.63,Good,1
4193,2.4375,Good,2.323529412,Good,3.006666667,Good,2.4,Good,1.85,Good,3.26,Good,3.46,Good,1
4240,2.893333333,Good,2.8125,Good,2.907692308,Good,3.08,Good,2.8,Good,3.294117647,Good,3.66,Good,1
4260,4,Good,4,Good,3.775,Good,3.94375,Good,3.74,Good,3.86875,Good,3.75,Good,1
4277,4,Good,3.94375,Good,4,Good,3.923076923,Good,4,Good,3.925,Good,3.809090909,Good,1
4368,2.25,Good,2.25625,Good,2.425,Good,2.216666667,Good,1.761538462,Good,1.925,Good,2.88,Good,1
4372,2.72,Good,2.74,Good,2.315384615,Good,2.86,Good,1.75,Good,1.707692308,Good,2.5,Good,1
4392,3.764705882,Good,3.358823529,Good,3.266666667,Good,3.572222222,Good,3.65,Good,3.541176471,Good,3.788235294,Good,1
4440,1.9625,Good,2.086666667,Good,1.129411765,Probation,1.364285714,Probation,2.546153846,Good,2.323076923,Good,1.94,Good,1
4483,2.333333333,Good,1.75,Good,1.75,Probation,2.384615385,Good,2.433333333,Good,3,NA,1.46,Good,1
4506,0.1,Dismissed,2.385714286,Probation,1.435714286,NA,2.642857143,Probation,3,Good,2.75,Good,2.32,Good,1
4508,2.68,Good,1.785714286,Good,3.392307692,Good,4,Good,2.49375,Good,2.14,Good,2.22,Good,0
4522,3.535294118,Good,3.2,Good,3.19375,Good,3.45,Good,3.411764706,Good,3.794444444,Good,4,Good,1
4602,2.923076923,Good,3.769230769,Good,3.657142857,Good,2.315384615,Good,2.775,Good,2.92,Good,2.75,Good,1
4641,3.466666667,Good,2.9375,Good,2.811764706,Good,2.7,Good,3.625,Good,3.8125,Good,2.935714286,Good,1
4675,2.106666667,Good,2.48,Good,2.406666667,Good,2.564285714,Good,1.08125,Good,1.3,Good,1.6,Good,0
4678,2.285714286,Good,3,Good,2.466666667,Good,0.930769231,Dismissed,2.015384615,Good,1.230769231,Good,1.26,Good,1
4698,2.928571429,Good,2.823529412,Good,2.25,Good,3.123529412,Good,3.15,Good,3.35,Good,2.842857143,Good,1
4712,2.428571429,Good,2.4,Good,2.75,Good,2,Good,2.75,Good,2.142857143,Good,1.461538462,Good,1
4779,3.176470588,Good,2.352941176,Good,1.776923077,Good,2.476923077,Good,2.425,Good,3.175,Good,3.173333333,Good,1
4785,2.664285714,Good,3.047058824,Good,2.2,Good,2.677777778,Good,2.707692308,Good,3.088235294,Good,2.54,Good,1
4814,3.275,Good,3.570588235,Good,2.023076923,Good,3.15,Good,2.330769231,Good,3.769230769,Good,3.935714286,Good,1
4831,2.75,Good,2.8,Good,2.944444444,Good,3.066666667,Good,4,Good,2.325,Good,3.24,Good,1
4864,3.066666667,Good,1.813333333,Good,3.1125,Good,2.083333333,Good,1.876470588,Good,2.00625,Good,1.364285714,Good,1
4940,2.384615385,Good,2.11875,Good,2.78,Good,2.4,Good,2.8,Good,2.85,Good,2.15,Good,1
4992,3.583333333,Good,2.5,Good,2.153846154,Good,2.8,Good,2.823529412,Good,3.207142857,Good,2.076470588,Good,1
4995,2.6625,Good,1.76875,Good,1.957142857,Good,2.6,Good,2.875,Good,2.470588235,Good,2.89375,Good,1
5019,2.633333333,Good,3.1,Good,2.75,Good,3,Good,2.278571429,Good,1.838461538,Good,2,Good,1
5023,3.416666667,Good,3.4625,Good,3.39375,Good,3.341176471,Good,3.45625,Good,3.894117647,Good,3.94375,Good,1
5075,1.935294118,Good,1.75,Probation,2.85,Good,2.85,Good,3.25,Good,2.66,Good,2.7,Good,1
5077,3.5625,Good,3.5625,Good,2.125,Good,2.769230769,Good,2.817647059,Good,2.66,Good,2.36875,Good,1
5083,2.74,Good,2.125,Good,3.3,Good,2.45,Good,2.386666667,Good,2.2,Good,2.682352941,Good,1
5086,2.875,Good,2.393333333,Good,1.923076923,Good,1.75625,Good,2.6875,Good,2.78,Good,3.113333333,Good,1
5091,3.9,Good,3.78,Good,3.31875,Good,2.90625,Good,3.34,Good,3.416666667,Good,3.34,Good,1
5108,1.75,Probation,2.071428571,Good,2.764285714,Good,1.315384615,Good,1.684615385,Good,2.14,Good,1.325,Good,0
5133,3.625,Good,3.30625,Good,2.806666667,Good,3.271428571,Good,3.28,Good,3.6,Good,3.930769231,Good,1
5142,2.933333333,Good,2.875,Good,3.4,Good,1.928571429,Good,3.591666667,Good,3.49375,Good,2.925,Good,1
5173,2.833333333,Good,1.647058824,Good,3,Good,2.75,Good,0.675,Dismissed,3.175,Good,3.133333333,Good,1
5215,2.6,Good,1.666666667,Good,2.5,Good,1.8,Good,0.75,Good,2,Good,4,NA,0
5278,1.733333333,Good,2.914285714,Dismissed,2.728571429,Good,1.5,Good,2.078571429,Good,2.7,Good,3.466666667,Good,0
5299,3.466666667,Good,3.466666667,Good,3.86875,Good,3.68,Good,3.82,Good,4,NA,3.58,Good,1
5341,3.333333333,Good,2.866666667,Good,2.75,Good,2.833333333,Good,2.933333333,Good,3.6,Good,2.875,Good,1
5357,3.006666667,Good,3,Good,3.35625,Good,2.8,Good,3.358823529,Good,1.846153846,Good,2.776923077,Good,1
5370,1.733333333,Good,2.466666667,Good,2.3125,Good,1.214285714,Good,2.285714286,Good,2.125,Good,2.461538462,Good,1
5435,3.25,Good,2.875,Good,2.066666667,Good,1.571428571,Good,3.0625,Good,3,Good,2.435714286,Good,1
5498,2.9125,Good,3.594117647,Good,3.414285714,Good,3.214285714,Good,2.866666667,Good,2.24375,Good,3.4,Good,1
5563,2.625,Good,2.29375,Good,1.9,Good,3.007692308,Good,2.494117647,Good,2.133333333,Good,1.666666667,Good,1
5611,1.933333333,Good,2.071428571,Good,1.375,Good,2.692307692,Good,1.615384615,Good,2.5,Good,2.4125,Good,1
5616,2.111764706,Good,2.384615385,Good,2.392307692,Good,1.6,Good,1.941176471,Good,2.6,Good,2.4,Good,1
5629,3.1375,Good,3.227777778,Good,2.894117647,Good,2.9875,Good,3.04375,Good,3.392307692,Good,3.527272727,Good,1
5676,1.214285714,Probation,2.333333333,Probation,0.882352941,Dismissed,2,Dismissed,1.857142857,Good,2.226666667,Good,2.583333333,Good,1
5677,2,Good,2.375,Good,2,Good,1.5,Good,2.823529412,Good,2.6,Good,3.210526316,Good,1
5689,1.75,Probation,2.94,Good,3.3,Good,2.607692308,Good,3.1375,Good,3.5,Good,3.630769231,Good,1
5726,3.925,Good,4,Good,4,Good,4,Good,4,Good,4,Good,4,Good,1
5734,3.185714286,Good,3.227777778,Good,2.738888889,Good,2.826666667,Good,2.783333333,Good,2.726666667,Good,3.7,Good,1
