Applications in Information Systems,Artificial Intelligence,Basic Algebra,Business Analytics,Calculus and Analytic Geometry I,Calculus and Analytic Geometry II,Calculus and Analytic Geometry III,Circuit Modeling I,College Algebra,College Writing I,College Writing II,Computer Architecture/Operating Systems,Computer Graphics,Corporate Finance,Data Communications and Computer Networks,Database Design and Implementation,Discrete Mathematics,Discrete Structures,Electrical Engineering Projects and Tools,Elementary Algebra,Elementary Statistics,Engineering Management,Essentials of Anatomy and Physiology,Financial Accounting,Finite Mathematics with Applications,Fundamentals of Engineering Analysis Tools,General Physics I,General Physics II,Human Factors Engineering,Intermediate Algebra,Intermediate Software Engineering,Interpretation of Business and Economic Data,Introduction to Agribusiness,Introduction to Computer Security,Introduction to Marketing,Introduction to Microprocessors,Introduction to Programming,Introduction to Software Engineering,Leadership and Management,Logic and Digital Design,Management Accounting,Mathematical Problem Solving,Microcomputer Applications,Microsoft Excel for Business,Object Oriented Analysis and Design,Object-Oriented Programming and Data Structures I,Object-Oriented Programming and Data Structures II,Operations Management,Operations Research I,Organizational Behavior,postreq,Precalculus,Principles and Applications of Project Management,Programming in C++,Programming in COBOL,Programming in VB.NET,Programming Language Structures,Quality Engineering,Quality Management,Real-Time Embedded Systems Programming,Software Engineering Project I,Software Engineering Project II,Software Maintenance and Reengineering,Software Quality,Statistical Methods with Applications,Studio College Writing,Systems Analysis and Design,Systems Development and Implementation,Technical Writing,Trigonometry and Analytic Geometry,"Web Protocols, Technologies, and Applications",Windows Programming
$,$,$,$,C,C,C,D+,$,$,$,B,$,$,B,B,C,$,A,$,$,$,$,$,$,$,C-,C+,$,$,B,$,$,$,$,B+,$,A,A,B-,$,$,$,$,B-,B,B,$,$,$,$,$,$,B,$,$,C+,$,$,C-,B,A,B,C,D,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,B,A,$,$,B-,$,$,$,$,$,$,B+,$,$,C,$,$,$,$,$,A,$,$,$,$,C+,$,A,$,B,$,C,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$
B,$,$,$,$,$,$,$,C,$,A,C+,$,$,B,C,$,$,$,$,B+,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,A,$,A,$,C,$,$,$,$,B,C+,$,$,$,$,$,$,B,A,B,$,$,$,$,$,$,$,$,$,$,B,B,A,C,$,B+
$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,B+,B+,$,$,$,$,$,$,$,$,$,$,$,$,F,D,$,$,$,$,$,$,$,$,$,F,$,A,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$
$,B,$,$,$,B-,$,$,$,$,A-,$,$,$,B,B-,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,C,$,$,$,$,$,B-,$,C,$,$,$,$,$,$,A,$,$,A-,$,$,$,$,$,$,A,$,$,$,$,C+,$,$,$
$,$,$,$,$,$,$,$,$,A,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,B+,$,F,$,$,$,$,$,$,F,$,$,$,$,$,F,$,B+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,C+,$,$,$,$,C,$,$,B-,$,B,C+,$,$,$,A-,$,$,A,$,$,$,$,$,$,$,$,$,$,C,$,$,$,B,$,A,$,A-,$,$,B+,$,$,$,$,$,$,$,A,B+,A,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$
$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B+,$,$,$,$,$,$,$,C,A-,B+,C-,$,$,C,C+,$,$,A,$,C+,$,$,C-,C,$,$,$,$,$,$,$,$,B,B,$,$,C+,B,$,B-,$,$,$,$,C,C+,$,$,A,$,$,$,B,C,B,B,$,$,$,$,$,$,$,$,$,A,B,C,F,$,$
$,$,$,$,D,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B,$,$,$,$,$,$,$,$,A,A-,$,$,$,B,B,$,$,$,$,$,$,$,B,B+,$,$,$,$,$,$,B,$,$,B,$,$,$,A,$,B+,$,$,$,$,A,B,$,$,$,$,$,$,$,A,A,$,$,$,$,$,$,$,$,$,$,$,B,A,$,$,B+
$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$,A,$,B,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$
$,$,$,$,F,$,$,$,$,A,B,F,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,F,$,$,$,$,$,$,C,F,$,$,$,$,C,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,B,$,$,F,$,$,$,$,B,C,$,$,$,$,F,F,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,B,A,$,$,$,$,$,C,B,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$
$,$,$,$,B,$,$,$,$,A,A,$,$,A-,D,F,F,$,$,$,A,$,$,C,$,$,$,$,$,$,$,$,$,C-,A,$,A,C+,B-,$,B+,$,$,B+,B,B-,F,$,$,A,$,$,$,B-,$,B+,$,$,A,$,$,$,$,$,$,$,$,$,C,A-,$,$
$,$,$,$,$,$,F,$,$,$,B,B+,A-,$,C-,B-,B+,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,D,B,$,$,B-,A-,$,$,$,$,$,A-,B-,D+,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,B-,B,$,$,$,A,$,$,C+
$,$,$,$,$,$,$,$,$,C,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,D,$,$,$,F,C,D,$,$,C,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,B,$,B,$,B+,$,B,$,B,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,$
$,$,$,A,B,A-,B-,$,$,B,A-,B,$,B,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,A-,$,A,B,A,$,B+,$,A,$,$,B,$,$,$,$,$,$,$,B,B+,C+,$,$,$,$,$,$,$,$,$,$,$,$,A-,$,$,$
B,$,$,$,$,$,$,$,$,B,B-,$,$,$,C-,C,$,$,$,$,C,$,$,C,D,$,$,$,$,$,$,$,$,B,C,$,A-,$,B-,$,D,$,$,$,$,F,$,B+,$,A,$,$,$,C,F,C-,$,$,$,$,$,$,$,$,$,$,B,B-,B+,D,$,C-
$,$,$,$,F,$,$,$,$,A,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,F,$,F,$,D,$,$,$,$,$,$,F,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,D,$,$,$,$,$,$,F,$,$,$,$,$,C,$,C,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,$,$,$,A,B,B,B,B,$,B,C,C,$,A,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,A,B,B,$,$,$,$,$,B+,B,B,$,$,$,$,$,$,A,A,$,B+,$,$,$,$,$,$,B-,$,$,$,$,A,B,$,$
$,$,$,$,A,A,A,A,$,$,A,A,$,$,A,A-,A,$,A,$,$,$,$,$,$,$,B,A,$,$,A,$,$,$,$,A,$,A,A,A,$,$,$,$,A,A,A,$,$,$,$,$,$,A,$,$,A,$,$,B+,A-,A,B,A-,A-,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,D,$,B+,$,B,A,C+,$,$,C-,C-,D,$,B,$,$,$,$,A-,$,$,C-,$,$,$,$,$,$,$,C,$,$,C+,A,$,$,$,$,$,D,C+,D,$,$,B+,$,$,$,A,$,A-,B,$,A,$,$,$,$,$,$,$,$,$,B-,$,$,B
C,$,$,$,$,$,$,$,$,$,A,$,$,$,F,F,$,$,B,$,$,$,$,F,B,$,$,$,$,$,$,D,$,C,C-,$,$,$,B,$,$,$,$,$,$,C,$,$,$,A-,$,$,$,C,C+,D+,$,$,$,$,$,$,$,$,$,$,C,D,B-,F,$,F
$,B+,$,$,B,C,C+,$,$,$,A,C+,$,$,C,D,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,C,C,$,$,$,$,$,B,C,D+,$,$,$,$,$,$,B,F,B+,B-,$,$,$,$,$,$,$,$,$,$,$,A,$,$,B
$,$,$,$,F,$,$,C-,F,B,B,D,$,$,B,B,C-,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,$,B,B,C-,$,$,$,$,B,C,C,$,$,$,$,$,$,B,$,B+,B-,$,$,$,$,$,$,B-,$,$,$,$,B,D,$,B
