class_1,class_2,pval,rho,n
Accounting Issues for Managers,Programming in VB.NET,0.021429114,0.432789762,28
Accounting Issues for Managers,Quality Management,0.405771569,-0.486664263,5
Accounting Issues for Managers,"Race, Gender, and Class",0.124879826,-0.695608344,6
Accounting Issues for Managers,Relaxation,0.74180111,0.25819889,4
Accounting Issues for Managers,"Science, Technology, and Ethics",0.789181489,0.210818511,4
Accounting Issues for Managers,Small Business Management,0.861785275,0.092406166,6
Accounting Issues for Managers,Special Problems,0.698930777,-0.203522895,6
Accounting Issues for Managers,Special Topics,0.047106518,-0.713004888,8
Accounting Issues for Managers,Special Topics in Computer Science,0.225403331,0.774596669,4
Accounting Issues for Managers,Strategic Management,0.612050653,-0.094775809,31
Accounting Issues for Managers,Strategic Promotions Management,0,1,3
Accounting Issues for Managers,Supply Chain Management,0.530513948,0.191645835,13
Accounting Issues for Managers,Systems Analysis and Design,0.464725059,0.153194197,25
Accounting Issues for Managers,Systems Development and Implementation,0.213701947,0.257656134,25
Accounting Issues for Managers,Technical Writing,0.935036153,0.01429627,35
Accounting Issues for Managers,The Legal Environment of Business,0.010173023,0.434825331,34
Accounting Issues for Managers,Trigonometry and Analytic Geometry,0.800548508,0.098703349,9
Accounting Issues for Managers,Volleyball,0.871546963,0.058925565,10
Accounting Issues for Managers,Weather and Climate,0.333333333,0.866025404,3
Accounting Issues for Managers,"Web Protocols, Technologies and Applications",0.206043153,0.375542927,13
Accounting Issues for Managers,Windows Programming,0.051333518,0.430614307,21
Accounting Issues for Managers,World Civilization I,0.641081927,0.126325053,16
Accounting Issues for Managers,World Civilization II,0.079547717,0.350094478,26
Accounting Issues for Managers,World Regional Geography,0.325312728,0.438274162,7
Adolescent Psychology,Calculus and Analytic Geometry I,0.016276748,0.893939394,6
Adolescent Psychology,Calculus and Analytic Geometry II,0.13333912,0.763157895,5
Adolescent Psychology,Calculus and Analytic Geometry III,0.727834473,0.272165527,4
Adolescent Psychology,Circuit Modeling I,0.333333333,0.866025404,3
Adolescent Psychology,College Writing I,0.660642155,-0.204124145,7
Adolescent Psychology,College Writing II,0.038592022,0.732933393,8
Adolescent Psychology,Computer Architecture/Operating Systems,0.304083495,0.507519219,6
Adolescent Psychology,Data Communications and Computer Networks,0.071609692,0.772727273,6
Adolescent Psychology,Database Design and Implementation,0.466905125,-0.432590456,5
Adolescent Psychology,Discrete Mathematics,0.50446228,0.34391797,6
Adolescent Psychology,Electrical Engineering Projects and Tools,1,0,3
Adolescent Psychology,Engineering Success Skills,0.552786405,0.447213595,4
Adolescent Psychology,Fitness Assessment and Management,0.20703125,0.5,8
Adolescent Psychology,General Physics I,0.666666667,0.5,3
Adolescent Psychology,General Physics II,0.333333333,-0.866025404,3
Adolescent Psychology,General Psychology,0.17482463,0.577202242,7
Adolescent Psychology,Intermediate Software Engineering,0.740581942,0.20519567,5
Adolescent Psychology,Introduction to Engineering Projects,0.225403331,0.774596669,4
Adolescent Psychology,Introduction to Microprocessors,1,0,3
Adolescent Psychology,Introduction to Philosophy,0.166666667,-0.833333333,4
Adolescent Psychology,Introduction to Programming,0.111111111,0.888888889,4
Adolescent Psychology,Introduction to Software Engineering,0.120301018,0.701570685,6
Adolescent Psychology,Leadership and Management,0.101308469,0.619643563,8
Adolescent Psychology,Linear Algebra,0.5,0.5,4
Adolescent Psychology,Logic and Digital Design,0.666666667,-0.5,3
Adolescent Psychology,Music Appreciation,0.455668946,0.544331054,4
Adolescent Psychology,Object Oriented Analysis and Design,0.589058827,0.28138743,6
Adolescent Psychology,Object-Oriented Programming and Data Structures I,0.314918781,0.408566968,8
Adolescent Psychology,Object-Oriented Programming and Data Structures II,0.383325333,0.439393939,6
Adolescent Psychology,Oral Communication for Professionals,0.105572809,-0.894427191,4
Adolescent Psychology,Principles of Macroeconomics,0.367544468,0.632455532,4
Adolescent Psychology,Principles of Microeconomics,1,0,3
Adolescent Psychology,Programming in C++,0.062042951,0.682740025,8
Adolescent Psychology,Programming in VB.NET,0.333333333,0.866025404,3
Adolescent Psychology,Programming Language Structures,0.219168181,0.588489886,6
Adolescent Psychology,"Science, Technology, and Ethics",0.666666667,0.5,3
Adolescent Psychology,Software Engineering Project I,0.666666667,0.5,3
Adolescent Psychology,Software Engineering Project II,0.666666667,-0.5,3
Adolescent Psychology,Software Maintenance and Reengineering,1,0,3
Adolescent Psychology,Software Quality,0.166666667,0.833333333,4
Adolescent Psychology,Statistical Methods with Applications,0.944444444,0.055555556,4
Adolescent Psychology,Technical Writing,0.367544468,0.632455532,4
Adolescent Psychology,Trigonometry and Analytic Geometry,0.333333333,0.866025404,3
Adolescent Psychology,World Civilization I,0.666666667,-0.5,3
Adolescent Psychology,World Civilization II,0.169201999,0.583333333,7
Advanced Accounting I,Advanced Cost Accounting,0.239442599,-0.645497224,5
Advanced Accounting I,Advanced Taxation,1,0,5
Advanced Accounting I,Auditing I,1,0,6
Advanced Accounting I,Business Communication,0.770346102,0.181369063,5
Advanced Accounting I,Calculus and Analytic Geometry I,0.455668946,0.544331054,4
Advanced Accounting I,College Writing I,0.764126059,0.186338998,5
Advanced Accounting I,College Writing II,0.287864135,0.522232968,6
Advanced Accounting I,Concepts of Biology,0.666666667,-0.5,3
Advanced Accounting I,Corporate Finance,0.388420356,0.43519414,6
Advanced Accounting I,Cost Accounting,1,0,6
Advanced Accounting I,Elementary Statistics,0.333333333,-0.866025404,3
Advanced Accounting I,Engineering Success Skills,0.666666667,0.5,3
Advanced Accounting I,Federal Income Tax,0.704,0.2,6
Advanced Accounting I,Financial Accounting,1,0,6
Advanced Accounting I,Fitness Assessment and Management,0.230199641,-0.577350269,6
Advanced Accounting I,General Psychology,0.666666667,-0.333333333,4
Advanced Accounting I,Global Business,0.476620667,0.365148372,6
Advanced Accounting I,Human Resource Management,0.74527416,0.171498585,6
Advanced Accounting I,Intermediate Accounting I,0.3125,0.5,6
Advanced Accounting I,Intermediate Accounting II,0.476620667,0.365148372,6
Advanced Accounting I,Introduction to Marketing,0.199176844,0.609271796,6
Advanced Accounting I,Introduction to Philosophy,0.391002219,0.5,5
Advanced Accounting I,Introduction to Programming,0.455668946,0.544331054,4
Advanced Accounting I,Leadership and Management,0.196261178,0.612372436,6
Advanced Accounting I,Management Accounting,0.269991353,-0.538815906,6
Advanced Accounting I,"Management, Gender & Race",0.333333333,0.866025404,3
Advanced Accounting I,Managerial Law,0.391002219,-0.5,5
Advanced Accounting I,Microcomputer Applications,0.484358972,0.359210604,6
Advanced Accounting I,Music Appreciation,0.1215,-0.7,6
Advanced Accounting I,Oral Communication for Professionals,1,0,6
Advanced Accounting I,Principles of Macroeconomics,0.3125,-0.5,6
Advanced Accounting I,Principles of Microeconomics,0.704,-0.2,6
Advanced Accounting I,Programming in C++,0.484358972,-0.359210604,6
Advanced Accounting I,Strategic Management,1,0,6
Advanced Accounting I,Supply Chain Management,1,0,3
Advanced Accounting I,The Legal Environment of Business,0.617226972,0.261116484,6
Advanced Accounting I,World Civilization I,1,0,3
Advanced Accounting I,World Civilization II,0.166666667,-0.833333333,4
Advanced Ceramics,College Writing II,0,-1,3
Advanced Ceramics,Engineering Success Skills,0,-1,3
Advanced Ceramics,Fitness Assessment and Management,0,-1,3
Advanced Ceramics,Principles of Macroeconomics,0.333333333,-0.866025404,3
Advanced Cost Accounting,Advanced Taxation,0.618630389,-0.30429031,5
Advanced Cost Accounting,Auditing I,0.618630389,0.30429031,5
Advanced Cost Accounting,Business Communication,1,0,4
Advanced Cost Accounting,Calculus and Analytic Geometry I,0.76429774,-0.23570226,4
Advanced Cost Accounting,College Writing I,0.292893219,0.707106781,4
Advanced Cost Accounting,College Writing II,0.043924953,-0.888523317,5
Advanced Cost Accounting,Concepts of Biology,0.683772234,-0.316227766,4
Advanced Cost Accounting,Corporate Finance,0.628487081,-0.296174439,5
Advanced Cost Accounting,Cost Accounting,0.241981531,0.565685425,6
Advanced Cost Accounting,Elementary Statistics,0.74180111,-0.25819889,4
Advanced Cost Accounting,Engineering Success Skills,0.5,-0.5,4
Advanced Cost Accounting,Federal Income Tax,0.650665596,0.237346442,6
Advanced Cost Accounting,Financial Accounting,0.975002315,0.016666667,6
Advanced Cost Accounting,Fitness Assessment and Management,0.094066011,0.737864787,6
Advanced Cost Accounting,General Psychology,0.183503419,-0.816496581,4
Advanced Cost Accounting,Global Business,0.192252315,0.616666667,6
Advanced Cost Accounting,Human Resource Management,0.244110444,0.563601862,6
Advanced Cost Accounting,Intermediate Accounting I,0.362892164,-0.456435465,6
Advanced Cost Accounting,Intermediate Accounting II,0.618630389,-0.30429031,5
Advanced Cost Accounting,Introduction to Engineering Projects,0.333333333,-0.866025404,3
Advanced Cost Accounting,Introduction to Marketing,0.810334782,-0.127128345,6
Advanced Cost Accounting,Introduction to Philosophy,0.181690114,-0.707106781,5
Advanced Cost Accounting,Introduction to Programming,0.333333333,-0.866025404,3
Advanced Cost Accounting,Leadership and Management,0.670179973,-0.223606798,6
Advanced Cost Accounting,Management Accounting,0.395905606,0.429058165,6
Advanced Cost Accounting,Managerial Law,0.239442599,0.645497224,5
Advanced Cost Accounting,Microcomputer Applications,0.812140928,0.148087219,5
Advanced Cost Accounting,Music Appreciation,0.407142061,0.419920627,6
Advanced Cost Accounting,Object-Oriented Programming and Data Structures I,0.666666667,0.5,3
Advanced Cost Accounting,Oral Communication for Professionals,0.495025346,-0.40824829,5
Advanced Cost Accounting,Principles of Macroeconomics,0.756269027,-0.163956459,6
Advanced Cost Accounting,Principles of Microeconomics,0.407142061,0.419920627,6
Advanced Cost Accounting,Programming in C++,0.833832257,0.111237302,6
Advanced Cost Accounting,Programming in COBOL,0.333333333,0.866025404,3
Advanced Cost Accounting,Programming in VB.NET,0.666666667,0.5,3
Advanced Cost Accounting,Strategic Management,0.495025346,-0.40824829,5
Advanced Cost Accounting,The Legal Environment of Business,0.453549347,0.444261658,5
Advanced Cost Accounting,Trigonometry and Analytic Geometry,0.333333333,-0.866025404,3
Advanced Cost Accounting,World Civilization I,0.666666667,-0.5,3
Advanced Cost Accounting,World Civilization II,0.666666667,0.333333333,4
Advanced Geographic Information Systems,College Writing I,0.76429774,-0.23570226,4
Advanced Geographic Information Systems,College Writing II,1,0,4
Advanced Geographic Information Systems,Engineering Success Skills,0.057190958,-0.942809042,4
Advanced Geographic Information Systems,Environmental Conservation,1,0,4
Advanced Geographic Information Systems,Fitness Assessment and Management,0.422649731,-0.577350269,4
Advanced Geographic Information Systems,Introduction to Geographic Information Systems,0.422649731,-0.577350269,4
Advanced Geographic Information Systems,Introduction to Programming,0,-1,3
Advanced Geographic Information Systems,Leadership and Management,0.333333333,-0.866025404,3
Advanced Geographic Information Systems,Oral Communication for Professionals,0.333333333,-0.866025404,3
Advanced Geographic Information Systems,Planet Earth,0,-1,3
Advanced Geographic Information Systems,Principles of Macroeconomics,1,0,3
Advanced Geographic Information Systems,Programming in C++,0.292893219,-0.707106781,4
Advanced Geographic Information Systems,Survey of Cultural Geography,0.76429774,-0.23570226,4
Advanced Geographic Information Systems,World Regional Geography,1,0,3
Advanced Manufacturing Processes,Applications of Electrical Engineering,0,1,3
Advanced Manufacturing Processes,Automatic Controls,0.333333333,0.866025404,3
Advanced Manufacturing Processes,Calculus and Analytic Geometry II,0.666666667,0.5,3
Advanced Manufacturing Processes,Calculus and Analytic Geometry III,0.666666667,-0.5,3
Advanced Manufacturing Processes,Chemistry for Engineers,0.666666667,-0.5,3
Advanced Manufacturing Processes,College Writing I,0,-1,3
Advanced Manufacturing Processes,College Writing II,0.333333333,0.866025404,3
Advanced Manufacturing Processes,Design of Machine Elements,0.666666667,0.5,3
Advanced Manufacturing Processes,Differential Equations I,0.666666667,0.5,3
Advanced Manufacturing Processes,Engineering Economy,0.666666667,0.5,3
Advanced Manufacturing Processes,Engineering Materials,0,-1,3
Advanced Manufacturing Processes,Engineering Mechanics-Dynamics,0.666666667,-0.5,3
Advanced Manufacturing Processes,Engineering Mechanics-Statics,0,-1,3
Advanced Manufacturing Processes,Fitness Assessment and Management,0.333333333,-0.866025404,3
Advanced Manufacturing Processes,Fluid Dynamics,0.666666667,0.5,3
Advanced Manufacturing Processes,General Physics II,0,1,3
Advanced Manufacturing Processes,Introduction to Computational Methods,1,0,3
Advanced Manufacturing Processes,Introduction to Engineering Projects,0.666666667,-0.5,3
Advanced Manufacturing Processes,Mechanics of Materials,0.666666667,-0.5,3
Advanced Manufacturing Processes,Mechanisms and Machines,0.333333333,0.866025404,3
Advanced Manufacturing Processes,Oral Communication for Professionals,0.666666667,-0.5,3
