,student_id,course_name,grade
2565,5106,Calculus and Analytic Geometry I,C
2566,4717,Calculus and Analytic Geometry I,C
2567,6197,Calculus and Analytic Geometry I,F
2568,7288,Calculus and Analytic Geometry I,D
2569,5365,Calculus and Analytic Geometry I,D
2570,6325,Calculus and Analytic Geometry I,F
2571,2425,Calculus and Analytic Geometry I,A
2572,1679,Calculus and Analytic Geometry I,F
2573,10518,Calculus and Analytic Geometry I,C
2574,3718,Calculus and Analytic Geometry I,C
2575,2622,Calculus and Analytic Geometry I,C
2576,5341,Calculus and Analytic Geometry I,C
2577,2782,Calculus and Analytic Geometry I,D
2592,3461,Calculus and Analytic Geometry II,B
2593,4117,Calculus and Analytic Geometry II,D
2594,1304,Calculus and Analytic Geometry II,D
2595,3816,Calculus and Analytic Geometry II,C
2596,5822,Calculus and Analytic Geometry II,F
2597,8857,Calculus and Analytic Geometry II,B
2598,4788,Calculus and Analytic Geometry II,B
2599,556,Calculus and Analytic Geometry II,D
2600,1874,Calculus and Analytic Geometry II,D
2601,4104,Calculus and Analytic Geometry II,C
2602,2614,Calculus and Analytic Geometry II,F
2603,8318,Calculus and Analytic Geometry II,B
2604,2450,Calculus and Analytic Geometry II,C
2605,128,Calculus and Analytic Geometry II,F
2606,9843,Calculus and Analytic Geometry II,D
3138,4990,Calculus and Analytic Geometry I,B
3139,7849,Calculus and Analytic Geometry I,B
3141,9878,Calculus and Analytic Geometry I,C
3142,9964,Calculus and Analytic Geometry I,C
3147,2257,Calculus and Analytic Geometry II,F
3148,7677,Calculus and Analytic Geometry II,B
3149,6301,Calculus and Analytic Geometry II,F
3150,8058,Calculus and Analytic Geometry II,C
3153,8222,Calculus and Analytic Geometry II,C
3331,537,Calculus and Analytic Geometry I,F
3346,7449,Calculus and Analytic Geometry II,F
3968,812,Calculus and Analytic Geometry I,D
3969,2405,Calculus and Analytic Geometry I,F
3970,9401,Calculus and Analytic Geometry I,A
3971,10105,Calculus and Analytic Geometry I,F
3972,2046,Calculus and Analytic Geometry I,D
3973,1235,Calculus and Analytic Geometry I,F
3974,160,Calculus and Analytic Geometry I,F
3975,5154,Calculus and Analytic Geometry I,B
3976,7389,Calculus and Analytic Geometry I,F
3977,8334,Calculus and Analytic Geometry I,F
3978,2346,Calculus and Analytic Geometry I,F
3979,8308,Calculus and Analytic Geometry I,F
3980,2828,Calculus and Analytic Geometry I,A
3981,6325,Calculus and Analytic Geometry I,F
3982,3274,Calculus and Analytic Geometry I,C
3983,298,Calculus and Analytic Geometry I,F
3984,5568,Calculus and Analytic Geometry I,B
3985,1455,Calculus and Analytic Geometry I,F
3986,1078,Calculus and Analytic Geometry I,C
3987,3714,Calculus and Analytic Geometry I,D
3988,2743,Calculus and Analytic Geometry I,B
3989,8444,Calculus and Analytic Geometry I,C
3990,9361,Calculus and Analytic Geometry I,D
3991,3912,Calculus and Analytic Geometry I,B
3992,5969,Calculus and Analytic Geometry I,D
3993,1579,Calculus and Analytic Geometry I,B
3994,875,Calculus and Analytic Geometry I,F
3995,10420,Calculus and Analytic Geometry I,F
3996,8633,Calculus and Analytic Geometry I,C
3997,9234,Calculus and Analytic Geometry I,D
3998,291,Calculus and Analytic Geometry I,C
4006,9710,Calculus and Analytic Geometry II,C
4007,1533,Calculus and Analytic Geometry II,F
4008,9789,Calculus and Analytic Geometry II,F
4009,7585,Calculus and Analytic Geometry II,F
4010,7240,Calculus and Analytic Geometry II,C
4011,6051,Calculus and Analytic Geometry II,C
4012,10518,Calculus and Analytic Geometry II,F
4013,5142,Calculus and Analytic Geometry II,C
4014,3092,Calculus and Analytic Geometry II,D
4015,5365,Calculus and Analytic Geometry II,D
4016,1326,Calculus and Analytic Geometry II,F
4017,1313,Calculus and Analytic Geometry II,C
4018,6730,Calculus and Analytic Geometry II,F
4019,8322,Calculus and Analytic Geometry II,B
4020,6130,Calculus and Analytic Geometry II,F
4021,3752,Calculus and Analytic Geometry II,C
4022,10368,Calculus and Analytic Geometry II,D
4023,8098,Calculus and Analytic Geometry II,B
4637,4045,Calculus and Analytic Geometry I,F
4638,7798,Calculus and Analytic Geometry I,B
4639,68,Calculus and Analytic Geometry II,B
4640,10649,Calculus and Analytic Geometry II,B
4851,153,Calculus and Analytic Geometry I,B
4852,1614,Calculus and Analytic Geometry I,C
4854,721,Calculus and Analytic Geometry I,C
4855,713,Calculus and Analytic Geometry I,C
4856,8771,Calculus and Analytic Geometry I,B
4857,5435,Calculus and Analytic Geometry I,C
4858,5685,Calculus and Analytic Geometry I,C
4860,3157,Calculus and Analytic Geometry I,B
4861,8818,Calculus and Analytic Geometry I,B
4863,9342,Calculus and Analytic Geometry I,D
4864,700,Calculus and Analytic Geometry I,F
4875,1904,Calculus and Analytic Geometry II,D
4876,5405,Calculus and Analytic Geometry II,B
4877,2797,Calculus and Analytic Geometry II,C
4878,2158,Calculus and Analytic Geometry II,F
4879,1836,Calculus and Analytic Geometry II,C
4880,4990,Calculus and Analytic Geometry II,B
4881,5370,Calculus and Analytic Geometry II,D
4882,9964,Calculus and Analytic Geometry II,C
4883,7158,Calculus and Analytic Geometry II,D
5705,9710,Calculus and Analytic Geometry I,B
5706,3092,Calculus and Analytic Geometry I,C
5707,2046,Calculus and Analytic Geometry I,F
5708,1351,Calculus and Analytic Geometry I,F
5709,7389,Calculus and Analytic Geometry I,F
5710,1579,Calculus and Analytic Geometry I,D
5711,812,Calculus and Analytic Geometry I,D
5712,10420,Calculus and Analytic Geometry I,F
5713,9789,Calculus and Analytic Geometry I,C
5714,6456,Calculus and Analytic Geometry I,F
5715,4624,Calculus and Analytic Geometry I,F
5716,6730,Calculus and Analytic Geometry I,C
5717,7240,Calculus and Analytic Geometry I,B
5718,7585,Calculus and Analytic Geometry I,B
5719,3921,Calculus and Analytic Geometry I,C
5720,8322,Calculus and Analytic Geometry I,B
5721,6943,Calculus and Analytic Geometry I,C
5722,6051,Calculus and Analytic Geometry I,A
5723,8444,Calculus and Analytic Geometry I,F
5724,9268,Calculus and Analytic Geometry I,F
5725,1533,Calculus and Analytic Geometry I,C
5726,1313,Calculus and Analytic Geometry I,A
5727,8169,Calculus and Analytic Geometry I,C
5728,6197,Calculus and Analytic Geometry I,B
5729,6964,Calculus and Analytic Geometry I,B
5730,6454,Calculus and Analytic Geometry I,C
5744,1602,Calculus and Analytic Geometry II,D
5745,452,Calculus and Analytic Geometry II,C
5746,5365,Calculus and Analytic Geometry II,F
5747,8724,Calculus and Analytic Geometry II,C
5748,10518,Calculus and Analytic Geometry II,F
5749,1196,Calculus and Analytic Geometry II,C
5750,7142,Calculus and Analytic Geometry II,B
5751,2680,Calculus and Analytic Geometry II,F
6242,68,Calculus and Analytic Geometry I,C
6395,721,Calculus and Analytic Geometry I,F
6396,2823,Calculus and Analytic Geometry I,F
6397,4318,Calculus and Analytic Geometry I,F
6398,7158,Calculus and Analytic Geometry I,C
6400,702,Calculus and Analytic Geometry I,F
6401,836,Calculus and Analytic Geometry I,F
6402,1904,Calculus and Analytic Geometry I,C
6415,5472,Calculus and Analytic Geometry II,B
6416,8700,Calculus and Analytic Geometry II,C
6417,3823,Calculus and Analytic Geometry II,C
6418,1836,Calculus and Analytic Geometry II,F
6419,2694,Calculus and Analytic Geometry II,C
6420,2797,Calculus and Analytic Geometry II,D
6421,9698,Calculus and Analytic Geometry II,B
6422,9878,Calculus and Analytic Geometry II,B
6423,542,Calculus and Analytic Geometry II,B
6424,5405,Calculus and Analytic Geometry II,D
6425,7295,Calculus and Analytic Geometry II,C
6426,2816,Calculus and Analytic Geometry II,D
6661,3852,Calculus and Analytic Geometry I,C
6662,2680,Calculus and Analytic Geometry II,B
6663,101,Calculus and Analytic Geometry II,B
6664,1489,Calculus and Analytic Geometry II,B
7289,2780,Calculus and Analytic Geometry I,C
7290,4602,Calculus and Analytic Geometry I,C
7291,6020,Calculus and Analytic Geometry I,D
7292,5872,Calculus and Analytic Geometry I,F
7293,1833,Calculus and Analytic Geometry I,C
7294,2405,Calculus and Analytic Geometry I,C
7295,2760,Calculus and Analytic Geometry I,F
7296,3229,Calculus and Analytic Geometry I,A
7297,4483,Calculus and Analytic Geometry I,F
7298,3714,Calculus and Analytic Geometry I,C
7299,1901,Calculus and Analytic Geometry I,F
7300,1672,Calculus and Analytic Geometry I,C
7301,869,Calculus and Analytic Geometry I,F
7302,7389,Calculus and Analytic Geometry I,C
7303,3801,Calculus and Analytic Geometry I,F
7304,8605,Calculus and Analytic Geometry I,D
7305,645,Calculus and Analytic Geometry I,B
7306,9689,Calculus and Analytic Geometry I,F
7307,7801,Calculus and Analytic Geometry I,B
7308,8964,Calculus and Analytic Geometry I,A
7309,8334,Calculus and Analytic Geometry I,C
7310,9201,Calculus and Analytic Geometry I,C
7311,3100,Calculus and Analytic Geometry I,B
7312,7411,Calculus and Analytic Geometry I,C
7313,7441,Calculus and Analytic Geometry I,C
7314,1183,Calculus and Analytic Geometry I,C
7315,4779,Calculus and Analytic Geometry I,C
7316,3856,Calculus and Analytic Geometry I,C
7336,3605,Calculus and Analytic Geometry II,C
7337,1051,Calculus and Analytic Geometry II,F
7338,330,Calculus and Analytic Geometry II,A
7339,9843,Calculus and Analytic Geometry II,A
7340,5054,Calculus and Analytic Geometry II,F
7341,2676,Calculus and Analytic Geometry II,C
7342,9352,Calculus and Analytic Geometry II,F
7343,8167,Calculus and Analytic Geometry II,C
7344,9789,Calculus and Analytic Geometry II,C
7345,1109,Calculus and Analytic Geometry II,B
8045,1103,Calculus and Analytic Geometry I,A
8046,9959,Calculus and Analytic Geometry I,B
8047,3908,Calculus and Analytic Geometry I,A
8048,4641,Calculus and Analytic Geometry I,B
8049,8442,Calculus and Analytic Geometry I,A
8050,6464,Calculus and Analytic Geometry I,B
8055,4045,Calculus and Analytic Geometry II,C
8056,5077,Calculus and Analytic Geometry II,D
8057,8661,Calculus and Analytic Geometry II,B
8058,5299,Calculus and Analytic Geometry II,B
8059,6823,Calculus and Analytic Geometry II,B
8060,7270,Calculus and Analytic Geometry II,C
8061,1775,Calculus and Analytic Geometry II,C
8280,4648,Calculus and Analytic Geometry I,F
8281,4112,Calculus and Analytic Geometry I,B
8282,1939,Calculus and Analytic Geometry I,F
8283,4757,Calculus and Analytic Geometry I,C
8284,542,Calculus and Analytic Geometry I,A
8285,6940,Calculus and Analytic Geometry I,B
8301,5469,Calculus and Analytic Geometry II,C
8302,6676,Calculus and Analytic Geometry II,B
8303,713,Calculus and Analytic Geometry II,C
8304,3052,Calculus and Analytic Geometry II,D
8305,5370,Calculus and Analytic Geometry II,B
8306,6496,Calculus and Analytic Geometry II,F
8307,1904,Calculus and Analytic Geometry II,B
9124,4104,Calculus and Analytic Geometry I,F
9125,10673,Calculus and Analytic Geometry I,C
9126,7411,Calculus and Analytic Geometry I,F
9127,6020,Calculus and Analytic Geometry I,F
9128,6942,Calculus and Analytic Geometry I,B
9129,3605,Calculus and Analytic Geometry I,A
9130,1514,Calculus and Analytic Geometry I,C
9131,1833,Calculus and Analytic Geometry I,F
9132,1235,Calculus and Analytic Geometry I,C
9133,4624,Calculus and Analytic Geometry I,F
9134,875,Calculus and Analytic Geometry I,B
9135,298,Calculus and Analytic Geometry I,F
9136,9268,Calculus and Analytic Geometry I,C
9137,869,Calculus and Analytic Geometry I,F
9138,8308,Calculus and Analytic Geometry I,C
9139,1051,Calculus and Analytic Geometry I,F
9140,7389,Calculus and Analytic Geometry I,F
9141,8884,Calculus and Analytic Geometry I,F
9142,9352,Calculus and Analytic Geometry I,C
9143,2405,Calculus and Analytic Geometry I,D
9144,10105,Calculus and Analytic Geometry I,D
9163,2828,Calculus and Analytic Geometry II,B
9164,6130,Calculus and Analytic Geometry II,C
9165,3912,Calculus and Analytic Geometry II,C
9166,2743,Calculus and Analytic Geometry II,B
9167,9789,Calculus and Analytic Geometry II,D
9168,7585,Calculus and Analytic Geometry II,C
9169,6730,Calculus and Analytic Geometry II,F
9170,452,Calculus and Analytic Geometry II,C
9171,1579,Calculus and Analytic Geometry II,F
9172,5154,Calculus and Analytic Geometry II,F
9173,10368,Calculus and Analytic Geometry II,D
9174,1326,Calculus and Analytic Geometry II,F
9383,5154,Calculus and Analytic Geometry II,F
9717,9358,Calculus and Analytic Geometry I,C
9718,5077,Calculus and Analytic Geometry I,B
9719,4045,Calculus and Analytic Geometry I,C
9722,4992,Calculus and Analytic Geometry II,C
9723,7798,Calculus and Analytic Geometry II,C
9907,9342,Calculus and Analytic Geometry I,F
9908,6676,Calculus and Analytic Geometry I,B
9909,9170,Calculus and Analytic Geometry I,A
9910,5469,Calculus and Analytic Geometry I,B
9911,4757,Calculus and Analytic Geometry I,D
9912,3052,Calculus and Analytic Geometry I,B
9922,619,Calculus and Analytic Geometry II,A
9923,153,Calculus and Analytic Geometry II,B
9924,1614,Calculus and Analytic Geometry II,C
9925,3157,Calculus and Analytic Geometry II,A
9926,713,Calculus and Analytic Geometry II,D
9927,5435,Calculus and Analytic Geometry II,C
9928,5685,Calculus and Analytic Geometry II,C
9930,5370,Calculus and Analytic Geometry II,D
9932,3075,Calculus and Analytic Geometry II,F
9933,515,Calculus and Analytic Geometry II,B
10219,8884,Calculus and Analytic Geometry I,F
10220,1679,Calculus and Analytic Geometry I,B
10221,1051,Calculus and Analytic Geometry I,C
10242,9170,Calculus and Analytic Geometry II,A
10243,7158,Calculus and Analytic Geometry II,C
10905,10569,Calculus and Analytic Geometry I,F
10906,8344,Calculus and Analytic Geometry I,D
10907,1345,Calculus and Analytic Geometry I,B-
10908,6456,Calculus and Analytic Geometry I,F
10909,9750,Calculus and Analytic Geometry I,F
10910,4483,Calculus and Analytic Geometry I,C+
10911,6765,Calculus and Analytic Geometry I,C+
10912,9475,Calculus and Analytic Geometry I,F
10913,6304,Calculus and Analytic Geometry I,B-
10914,2208,Calculus and Analytic Geometry I,F
10915,488,Calculus and Analytic Geometry I,D
10916,1308,Calculus and Analytic Geometry I,C-
10917,7202,Calculus and Analytic Geometry I,D
10918,1234,Calculus and Analytic Geometry I,C+
10919,7987,Calculus and Analytic Geometry I,D
10920,3833,Calculus and Analytic Geometry I,B+
10921,7896,Calculus and Analytic Geometry I,F
10922,6009,Calculus and Analytic Geometry I,D
10923,4712,Calculus and Analytic Geometry I,D
10924,1199,Calculus and Analytic Geometry I,F
10925,990,Calculus and Analytic Geometry I,B
10926,9410,Calculus and Analytic Geometry I,F
10927,9039,Calculus and Analytic Geometry I,D
10928,5616,Calculus and Analytic Geometry I,D
10944,5918,Calculus and Analytic Geometry II,B
10945,2545,Calculus and Analytic Geometry II,C
10946,7948,Calculus and Analytic Geometry II,F
10947,8014,Calculus and Analytic Geometry II,D
10948,5843,Calculus and Analytic Geometry II,C
10949,10673,Calculus and Analytic Geometry II,F
10950,7411,Calculus and Analytic Geometry II,D+
10951,1183,Calculus and Analytic Geometry II,D
10952,7292,Calculus and Analytic Geometry II,C
10953,2780,Calculus and Analytic Geometry II,C
10954,7441,Calculus and Analytic Geometry II,D
10955,9954,Calculus and Analytic Geometry II,F
10956,780,Calculus and Analytic Geometry II,B-
11640,177,Calculus and Analytic Geometry I,B
11641,134,Calculus and Analytic Geometry I,B-
11642,3014,Calculus and Analytic Geometry I,D
11643,9902,Calculus and Analytic Geometry I,B
11644,7970,Calculus and Analytic Geometry I,C-
11645,5734,Calculus and Analytic Geometry I,C+
11657,2966,Calculus and Analytic Geometry II,B+
11658,7563,Calculus and Analytic Geometry II,C-
11659,9931,Calculus and Analytic Geometry II,A-
11660,7883,Calculus and Analytic Geometry II,D+
11661,3334,Calculus and Analytic Geometry II,C-
11662,9097,Calculus and Analytic Geometry II,B
11663,5987,Calculus and Analytic Geometry II,F
11664,1999,Calculus and Analytic Geometry II,B+
12007,9377,Calculus and Analytic Geometry I,C-
12008,10401,Calculus and Analytic Geometry I,D
12009,2137,Calculus and Analytic Geometry I,B
12010,1036,Calculus and Analytic Geometry I,F
12011,4537,Calculus and Analytic Geometry I,F
12012,8227,Calculus and Analytic Geometry I,D
12013,2754,Calculus and Analytic Geometry I,D
12015,5685,Calculus and Analytic Geometry I,B-
12016,7056,Calculus and Analytic Geometry I,B
12019,2130,Calculus and Analytic Geometry II,C
12020,4112,Calculus and Analytic Geometry II,F
12021,2750,Calculus and Analytic Geometry II,F
12022,3075,Calculus and Analytic Geometry II,F
12023,5977,Calculus and Analytic Geometry II,F
12829,488,Calculus and Analytic Geometry I,F
12830,7948,Calculus and Analytic Geometry I,C
12831,2545,Calculus and Analytic Geometry I,B
12832,4483,Calculus and Analytic Geometry I,D
12833,4712,Calculus and Analytic Geometry I,F
12834,3801,Calculus and Analytic Geometry I,C
12835,1455,Calculus and Analytic Geometry I,C
12836,3313,Calculus and Analytic Geometry I,F
12837,2760,Calculus and Analytic Geometry I,C
12838,9062,Calculus and Analytic Geometry I,D
12839,4831,Calculus and Analytic Geometry I,C
12840,6009,Calculus and Analytic Geometry I,F
12841,6020,Calculus and Analytic Geometry I,C
12842,5872,Calculus and Analytic Geometry I,D
12843,8014,Calculus and Analytic Geometry I,C
12844,869,Calculus and Analytic Geometry I,F
12845,10569,Calculus and Analytic Geometry I,F
12846,9191,Calculus and Analytic Geometry I,D
12870,3229,Calculus and Analytic Geometry II,A
12871,9401,Calculus and Analytic Geometry II,A
12872,3714,Calculus and Analytic Geometry II,C
12873,8964,Calculus and Analytic Geometry II,B
12874,7389,Calculus and Analytic Geometry II,C
12875,7411,Calculus and Analytic Geometry II,F
12876,7441,Calculus and Analytic Geometry II,D
12877,4779,Calculus and Analytic Geometry II,C
12878,3856,Calculus and Analytic Geometry II,F
12879,1183,Calculus and Analytic Geometry II,F
12880,3092,Calculus and Analytic Geometry II,C
12881,2780,Calculus and Analytic Geometry II,F
13454,7883,Calculus and Analytic Geometry I,A
13455,3334,Calculus and Analytic Geometry I,B
13456,7563,Calculus and Analytic Geometry I,B
13460,9959,Calculus and Analytic Geometry II,C
13461,9358,Calculus and Analytic Geometry II,C
13462,4641,Calculus and Analytic Geometry II,C
13463,1103,Calculus and Analytic Geometry II,A
13464,3908,Calculus and Analytic Geometry II,A
13465,6464,Calculus and Analytic Geometry II,C
13466,8442,Calculus and Analytic Geometry II,C
13467,5077,Calculus and Analytic Geometry II,B
13690,503,Calculus and Analytic Geometry I,F
13691,3107,Calculus and Analytic Geometry I,D
13692,1939,Calculus and Analytic Geometry I,F
13693,8485,Calculus and Analytic Geometry I,F
13698,4757,Calculus and Analytic Geometry II,C
13699,3052,Calculus and Analytic Geometry II,B
13700,5977,Calculus and Analytic Geometry II,F
13701,236,Calculus and Analytic Geometry II,F
13702,2567,Calculus and Analytic Geometry II,B
13703,4112,Calculus and Analytic Geometry II,F
13704,6940,Calculus and Analytic Geometry II,C
13976,8884,Calculus and Analytic Geometry I,D
14735,9834,Calculus and Analytic Geometry I,F
14736,10412,Calculus and Analytic Geometry I,D
14737,2394,Calculus and Analytic Geometry I,C
14738,5616,Calculus and Analytic Geometry I,C
14739,348,Calculus and Analytic Geometry I,C+
14740,9274,Calculus and Analytic Geometry I,D
14741,9533,Calculus and Analytic Geometry I,A-
14742,9234,Calculus and Analytic Geometry I,B+
14743,970,Calculus and Analytic Geometry I,D
14744,16,Calculus and Analytic Geometry I,D
14745,5676,Calculus and Analytic Geometry I,C-
14746,9534,Calculus and Analytic Geometry I,F
14747,7958,Calculus and Analytic Geometry I,B
14748,5215,Calculus and Analytic Geometry I,F
14749,7053,Calculus and Analytic Geometry I,C
14750,5108,Calculus and Analytic Geometry I,F
14751,4712,Calculus and Analytic Geometry I,F
14752,32,Calculus and Analytic Geometry I,C+
14753,2121,Calculus and Analytic Geometry I,C
14754,6026,Calculus and Analytic Geometry I,D
14755,9532,Calculus and Analytic Geometry I,D
14756,1086,Calculus and Analytic Geometry I,C
14757,2456,Calculus and Analytic Geometry I,D
14758,10174,Calculus and Analytic Geometry I,D+
14759,3539,Calculus and Analytic Geometry I,D
14776,9475,Calculus and Analytic Geometry II,D
14777,9548,Calculus and Analytic Geometry II,F
14778,9564,Calculus and Analytic Geometry II,F
14779,6198,Calculus and Analytic Geometry II,F
14780,4675,Calculus and Analytic Geometry II,D
14781,7987,Calculus and Analytic Geometry II,F
14782,9764,Calculus and Analytic Geometry II,B
14783,7896,Calculus and Analytic Geometry II,C
14784,7364,Calculus and Analytic Geometry II,C
14785,2907,Calculus and Analytic Geometry II,F
14786,7699,Calculus and Analytic Geometry II,B
14787,9304,Calculus and Analytic Geometry II,B-
15533,9043,Calculus and Analytic Geometry I,A-
15534,4864,Calculus and Analytic Geometry I,B
15535,5023,Calculus and Analytic Geometry I,B
15536,8086,Calculus and Analytic Geometry I,C-
15537,2748,Calculus and Analytic Geometry I,F
15538,7923,Calculus and Analytic Geometry I,A
15539,3895,Calculus and Analytic Geometry I,A
15540,1930,Calculus and Analytic Geometry I,B
15541,2993,Calculus and Analytic Geometry I,B
15542,2669,Calculus and Analytic Geometry I,A-
15543,9866,Calculus and Analytic Geometry I,B+
15544,43,Calculus and Analytic Geometry I,D
15557,3787,Calculus and Analytic Geometry II,A
15558,6332,Calculus and Analytic Geometry II,D
15559,8177,Calculus and Analytic Geometry II,B
15560,9076,Calculus and Analytic Geometry II,C
15561,9901,Calculus and Analytic Geometry II,B
15562,7970,Calculus and Analytic Geometry II,F
15563,7841,Calculus and Analytic Geometry II,C+
15564,9365,Calculus and Analytic Geometry II,B
15565,5357,Calculus and Analytic Geometry II,C
15953,7787,Calculus and Analytic Geometry I,B
15954,8485,Calculus and Analytic Geometry I,F
15955,280,Calculus and Analytic Geometry I,B+
15957,4687,Calculus and Analytic Geometry I,C
15958,540,Calculus and Analytic Geometry I,F
15959,10643,Calculus and Analytic Geometry I,C
15960,9585,Calculus and Analytic Geometry I,D
15961,3118,Calculus and Analytic Geometry I,B
15962,3564,Calculus and Analytic Geometry I,B-
15966,10102,Calculus and Analytic Geometry II,A-
15968,800,Calculus and Analytic Geometry II,C+
15970,8227,Calculus and Analytic Geometry II,C
15971,3060,Calculus and Analytic Geometry II,C
15972,8461,Calculus and Analytic Geometry II,C
15973,10401,Calculus and Analytic Geometry II,C-
15974,2660,Calculus and Analytic Geometry II,B-
16774,9191,Calculus and Analytic Geometry I,B
16775,7896,Calculus and Analytic Geometry I,B
16776,6449,Calculus and Analytic Geometry I,C+
