,student_id,semester,year,grade,term_number
14782,9764,fall,2012,B,890
14783,7896,fall,2012,C,890
14784,7364,fall,2012,C,890
14785,2907,fall,2012,F,890
14786,7699,fall,2012,B,890
14787,9304,fall,2012,B-,890
15557,3787,fall,2012,A,890
15558,6332,fall,2012,D,890
15559,8177,fall,2012,B,890
15560,9076,fall,2012,C,890
15561,9901,fall,2012,B,890
15562,7970,fall,2012,F,890
15563,7841,fall,2012,C+,890
15564,9365,fall,2012,B,890
15565,5357,fall,2012,C,890
15966,10102,fall,2012,A-,890
15968,800,fall,2012,C+,890
15970,8227,fall,2012,C,890
15971,3060,fall,2012,C,890
15972,8461,fall,2012,C,890
15973,10401,fall,2012,C-,890
15974,2660,fall,2012,B-,890
16822,6304,spring,2012,C-,870
16823,7411,spring,2012,C-,870
16824,7948,spring,2012,F,870
16825,1183,spring,2012,C-,870
16826,8014,spring,2012,C,870
16827,990,spring,2012,A-,870
17451,9902,spring,2012,C,870
17452,177,spring,2012,B+,870
17453,134,spring,2012,C+,870
17454,7883,spring,2012,B,870
17455,5734,spring,2012,C,870
17456,5987,spring,2012,B,870
17722,9377,spring,2012,D,870
17724,3060,spring,2012,F,870
17725,2137,spring,2012,C-,870
17726,2750,spring,2012,A-,870
17727,5977,spring,2012,C-,870
17995,2907,summer,2012,F,880
17996,6449,summer,2012,C-,880
18022,10401,summer,2012,D,880
18819,1086,fall,2013,F,920
18820,10174,fall,2013,F,920
18821,9475,fall,2013,C-,920
18822,8248,fall,2013,F,920
18823,9039,fall,2013,D,920
18824,4440,fall,2013,D,920
18825,6417,fall,2013,F,920
19646,3366,fall,2013,F,920
19647,3551,fall,2013,A,920
19648,4864,fall,2013,B,920
19649,1857,fall,2013,C+,920
19650,8086,fall,2013,B-,920
19651,2748,fall,2013,F,920
19652,3337,fall,2013,C+,920
19653,1496,fall,2013,B-,920
19654,3910,fall,2013,B+,920
19655,4814,fall,2013,C+,920
19656,8553,fall,2013,B,920
20064,2976,fall,2013,F,920
20065,4274,fall,2013,F,920
20066,7079,fall,2013,C,920
20067,5833,fall,2013,F,920
20068,3626,fall,2013,F,920
20069,9155,fall,2013,F,920
20872,4675,spring,2013,C,900
20873,8884,spring,2013,C,900
20874,6198,spring,2013,F,900
20875,1086,spring,2013,F,900
20876,9533,spring,2013,C-,900
20877,5154,spring,2013,F,900
20878,348,spring,2013,B-,900
20879,9564,spring,2013,F,900
21571,7970,spring,2013,F,900
21572,3895,spring,2013,B-,900
21573,2669,spring,2013,A,900
21574,8086,spring,2013,D,900
21575,7923,spring,2013,A,900
21576,9866,spring,2013,C+,900
21577,9043,spring,2013,B-,900
21578,2993,spring,2013,C+,900
21579,6332,spring,2013,C+,900
21580,1930,spring,2013,C-,900
21581,4864,spring,2013,F,900
21582,192,spring,2013,A-,900
21583,5023,spring,2013,B,900
21904,3118,spring,2013,B,900
21906,4687,spring,2013,C,900
21907,7787,spring,2013,C-,900
21908,10643,spring,2013,C+,900
21909,280,spring,2013,A-,900
21910,2976,spring,2013,F,900
22844,2492,fall,2014,D,950
22845,2074,fall,2014,F,950
22846,5108,fall,2014,F,950
22847,6208,fall,2014,F,950
22848,7664,fall,2014,F,950
22849,4240,fall,2014,D+,950
22850,10364,fall,2014,B,950
22851,1639,fall,2014,F,950
22852,269,fall,2014,F,950
23681,6844,fall,2014,C+,950
23682,4392,fall,2014,B,950
23683,229,fall,2014,A,950
23684,5980,fall,2014,C,950
23685,2307,fall,2014,F,950
23686,2748,fall,2014,C,950
23687,43,fall,2014,C,950
23688,6577,fall,2014,B-,950
23689,6846,fall,2014,A,950
23690,5629,fall,2014,C+,950
23691,3934,fall,2014,A-,950
24172,9123,fall,2014,F,950
24173,1576,fall,2014,F,950
24174,8478,fall,2014,F,950
24175,3283,fall,2014,D,950
24910,5108,spring,2014,F,930
24911,9376,spring,2014,D,930
24912,7871,spring,2014,B+,930
24913,9039,spring,2014,F,930
24914,6417,spring,2014,B-,930
24915,4440,spring,2014,C-,930
24916,1639,spring,2014,F,930
24917,8248,spring,2014,F,930
24918,3894,spring,2014,B-,930
25669,7244,spring,2014,A,930
25670,7845,spring,2014,A,930
25671,3366,spring,2014,F,930
25672,2748,spring,2014,D,930
25673,2097,spring,2014,C-,930
25674,5726,spring,2014,A,930
25675,6144,spring,2014,C+,930
25676,6977,spring,2014,C,930
25677,7970,spring,2014,A-,930
25678,9405,spring,2014,A,930
25679,3424,spring,2014,C-,930
25680,4260,spring,2014,A,930
25681,9008,spring,2014,C-,930
25682,5091,spring,2014,A-,930
26095,5833,spring,2014,D,930
26096,2455,spring,2014,C-,930
26097,1479,spring,2014,C-,930
26098,3283,spring,2014,F,930
26099,8697,spring,2014,F,930
26100,2447,spring,2014,F,930
26296,3366,summer,2014,A-,940
26297,8697,summer,2014,D,940
27072,10626,fall,2015,C,980
27073,6319,fall,2015,D,980
27074,4508,fall,2015,F,980
27075,3680,fall,2015,C+,980
27076,10557,fall,2015,C,980
27077,7099,fall,2015,D,980
27936,8123,fall,2015,C-,980
27938,1219,fall,2015,A,980
28009,3637,fall,2015,F,980
28010,9590,fall,2015,B,980
28011,494,fall,2015,C-,980
28012,8698,fall,2015,C,980
28013,9140,fall,2015,B,980
28014,1344,fall,2015,C,980
28015,8825,fall,2015,C+,980
28016,8272,fall,2015,A,980
28017,863,fall,2015,C,980
28018,7141,fall,2015,F,980
28019,6610,fall,2015,B+,980
28020,2125,fall,2015,F,980
28021,2551,fall,2015,B,980
28022,9986,fall,2015,B-,980
28023,8259,fall,2015,D,980
28024,126,fall,2015,B-,980
28025,2484,fall,2015,C,980
28026,5338,fall,2015,D+,980
28027,100,fall,2015,B-,980
28614,1808,fall,2015,F,980
28615,9472,fall,2015,F,980
28616,8804,fall,2015,F,980
28617,10634,fall,2015,D,980
28618,7278,fall,2015,F,980
28619,5739,fall,2015,D+,980
28620,3106,fall,2015,F,980
28621,6878,fall,2015,C,980
28622,8704,fall,2015,B,980
29422,7282,spring,2015,C-,960
29423,269,spring,2015,F,960
29424,6319,spring,2015,D+,960
29425,4240,spring,2015,C+,960
29426,10557,spring,2015,F,960
29427,2492,spring,2015,B-,960
29428,1423,spring,2015,D,960
30136,9165,spring,2015,B,960
30137,2546,spring,2015,B,960
30138,9121,spring,2015,A-,960
30139,8698,spring,2015,D+,960
30140,1954,spring,2015,B,960
30141,7132,spring,2015,B,960
30142,9572,spring,2015,C,960
30143,5498,spring,2015,B,960
30144,411,spring,2015,F,960
30145,1321,spring,2015,B-,960
30146,2307,spring,2015,C,960
30147,2971,spring,2015,B-,960
30630,8967,spring,2015,F,960
30631,1576,spring,2015,F,960
30633,1765,spring,2015,C,960
30803,411,summer,2015,C,970
31516,2840,fall,2016,F,1010
31517,7099,fall,2016,D,1010
31518,3988,fall,2016,F,1010
31519,9327,fall,2016,D+,1010
31520,3861,fall,2016,D,1010
31521,8018,fall,2016,D,1010
31522,6319,fall,2016,A-,1010
31523,9596,fall,2016,F,1010
32400,4884,fall,2016,C-,1010
32401,4679,fall,2016,C,1010
32402,4133,fall,2016,A,1010
32403,2125,fall,2016,C-,1010
32404,2592,fall,2016,C,1010
32405,7650,fall,2016,B,1010
32406,400,fall,2016,B,1010
32407,4159,fall,2016,B,1010
32408,8452,fall,2016,C+,1010
32409,469,fall,2016,C-,1010
32410,2857,fall,2016,A-,1010
32411,9573,fall,2016,C,1010
32412,6319,fall,2016,A,1010
32413,2061,fall,2016,A-,1010
32414,1604,fall,2016,B,1010
32415,9577,fall,2016,F,1010
32416,7168,fall,2016,F,1010
32417,1908,fall,2016,D,1010
32418,9481,fall,2016,C-,1010
32419,3673,fall,2016,C,1010
32420,3862,fall,2016,B,1010
32421,458,fall,2016,F,1010
32422,3483,fall,2016,C+,1010
32423,1806,fall,2016,C+,1010
32424,18,fall,2016,B,1010
32425,7461,fall,2016,C,1010
33303,6893,fall,2016,F,1010
33391,5120,fall,2016,C-,1010
33392,3238,fall,2016,B,1010
33393,4884,fall,2016,C,1010
33394,9797,fall,2016,F,1010
33395,6966,fall,2016,C,1010
33396,4679,fall,2016,A,1010
33397,4133,fall,2016,C-,1010
33398,2125,fall,2016,C,1010
33399,2592,fall,2016,B,1010
33401,4159,fall,2016,C+,1010
33402,2588,fall,2016,F,1010
33403,8452,fall,2016,C-,1010
33404,469,fall,2016,A-,1010
33405,1171,fall,2016,C,1010
33406,7977,fall,2016,C,1010
33407,7266,fall,2016,B-,1010
33408,2901,fall,2016,C,1010
33409,2857,fall,2016,C,1010
33410,7644,fall,2016,C-,1010
33411,9573,fall,2016,A,1010
33412,1516,fall,2016,C,1010
33413,5756,fall,2016,C,1010
33414,10634,fall,2016,D,1010
33416,1604,fall,2016,F,1010
33417,9577,fall,2016,F,1010
33418,7168,fall,2016,D,1010
33419,4943,fall,2016,C,1010
33420,1908,fall,2016,C-,1010
33421,3673,fall,2016,B,1010
33422,2397,fall,2016,F,1010
33423,3862,fall,2016,F,1010
33424,458,fall,2016,C+,1010
33425,1806,fall,2016,B,1010
34680,8998,spring,2016,C,990
34681,8490,spring,2016,F,990
34682,9327,spring,2016,F,990
34683,3861,spring,2016,D,990
35457,8259,spring,2016,C,990
35458,646,spring,2016,B,990
35459,8488,spring,2016,A,990
35460,3637,spring,2016,C-,990
35461,7461,spring,2016,C-,990
35462,5338,spring,2016,B,990
35463,5499,spring,2016,C-,990
35464,5259,spring,2016,B+,990
35465,494,spring,2016,C+,990
35466,6627,spring,2016,B-,990
35467,437,spring,2016,F,990
35468,2188,spring,2016,C-,990
35469,1783,spring,2016,B,990
35470,7141,spring,2016,C+,990
35471,7129,spring,2016,B-,990
35472,1763,spring,2016,C+,990
35473,833,spring,2016,C-,990
35474,3218,spring,2016,C,990
35475,6896,spring,2016,B-,990
35476,1965,spring,2016,B-,990
36057,871,spring,2016,C+,990
36058,8155,spring,2016,F,990
36059,9303,spring,2016,A,990
36060,10410,spring,2016,C-,990
36061,5394,spring,2016,F,990
36062,5739,spring,2016,C-,990
36063,1479,spring,2016,D,990
36064,7499,spring,2016,D,990
36065,9472,spring,2016,D,990
37127,3861,fall,2017,F,1040
37128,5823,fall,2017,C,1040
37129,8139,fall,2017,F,1040
37130,3988,fall,2017,D,1040
37131,3252,fall,2017,D,1040
37132,4774,fall,2017,D,1040
37133,3104,fall,2017,F,1040
37134,1958,fall,2017,D,1040
37135,2629,fall,2017,C-,1040
37136,8018,fall,2017,D,1040
37137,10422,fall,2017,F,1040
37138,1387,fall,2017,D,1040
37139,6660,fall,2017,C,1040
37140,3966,fall,2017,F,1040
37141,561,fall,2017,C+,1040
37922,3160,fall,2017,C,1040
37923,770,fall,2017,B-,1040
37924,8146,fall,2017,D,1040
37925,1879,fall,2017,A,1040
37926,10325,fall,2017,C,1040
37927,2343,fall,2017,C,1040
37928,2513,fall,2017,C,1040
37929,7320,fall,2017,C-,1040
37930,8796,fall,2017,A-,1040
37931,1604,fall,2017,C,1040
37932,615,fall,2017,B,1040
37933,9292,fall,2017,C,1040
37934,4120,fall,2017,F,1040
37935,9527,fall,2017,B+,1040
37936,2174,fall,2017,C,1040
37937,10537,fall,2017,C-,1040
37938,1604,fall,2017,C+,1040
37939,3218,fall,2017,B,1040
38808,8009,fall,2017,C-,1040
38809,2766,fall,2017,C,1040
38810,3160,fall,2017,B-,1040
38811,5229,fall,2017,C,1040
38812,4875,fall,2017,B-,1040
38813,8096,fall,2017,B,1040
38814,770,fall,2017,D,1040
38815,8146,fall,2017,A,1040
38816,1879,fall,2017,C,1040
38817,2513,fall,2017,C-,1040
38818,4595,fall,2017,C,1040
38819,7320,fall,2017,A-,1040
38820,8796,fall,2017,C,1040
38821,1604,fall,2017,B,1040
38822,615,fall,2017,C,1040
38823,9292,fall,2017,F,1040
38824,10354,fall,2017,D,1040
38825,5932,fall,2017,F,1040
38826,4120,fall,2017,B+,1040
38827,9527,fall,2017,C,1040
38828,2174,fall,2017,C-,1040
38829,6893,fall,2017,B-,1040
38830,4911,fall,2017,D,1040
38831,9918,fall,2017,C,1040
38832,5182,fall,2017,B,1040
38833,10537,fall,2017,C+,1040
38834,4286,fall,2017,F,1040
38835,5367,fall,2017,B,1040
40115,9327,spring,2017,B,1020
40116,6660,spring,2017,D,1020
40117,8018,spring,2017,D,1020
40118,3988,spring,2017,D,1020
40119,3633,spring,2017,B,1020
40120,4774,spring,2017,D,1020
40121,8139,spring,2017,D,1020
40122,3252,spring,2017,F,1020
40123,1958,spring,2017,D,1020
40870,7330,spring,2017,C-,1020
40871,2314,spring,2017,B,1020
40872,4771,spring,2017,B-,1020
40873,5581,spring,2017,C,1020
40874,3636,spring,2017,C,1020
40875,4791,spring,2017,B,1020
40876,6470,spring,2017,C,1020
40877,9812,spring,2017,D,1020
40878,328,spring,2017,A-,1020
40879,1604,spring,2017,B,1020
40880,4317,spring,2017,D,1020
40881,8796,spring,2017,C,1020
40882,5865,spring,2017,F,1020
41375,5229,summer,2017,D,1030
41376,9577,summer,2017,B,1030
41377,7168,summer,2017,B,1030
42010,10422,fall,2018,F,1070
42011,10603,fall,2018,D,1070
42012,10553,fall,2018,C-,1070
42773,1599,fall,2018,A,1070
42774,6424,fall,2018,B+,1070
42775,10462,fall,2018,F,1070
42776,9542,fall,2018,C,1070
42777,9940,fall,2018,B,1070
42778,6156,fall,2018,D,1070
42779,73,fall,2018,A,1070
42780,5714,fall,2018,F,1070
42781,4102,fall,2018,A,1070
42782,8787,fall,2018,A-,1070
42783,6470,fall,2018,F,1070
43740,6137,fall,2018,A,1070
43741,648,fall,2018,F,1070
43742,6424,fall,2018,F,1070
43743,4330,fall,2018,C+,1070
43744,5158,fall,2018,C,1070
43745,8027,fall,2018,C,1070
43746,8349,fall,2018,B,1070
43747,2013,fall,2018,C+,1070
43748,5057,fall,2018,F,1070
43749,10222,fall,2018,D,1070
43750,1724,fall,2018,F,1070
43751,3951,fall,2018,F,1070
43752,4539,fall,2018,C,1070
44889,263,spring,2018,D,1050
44890,155,spring,2018,F,1050
44891,9051,spring,2018,B-,1050
44892,9596,spring,2018,D,1050
44893,5445,spring,2018,F,1050
44894,3983,spring,2018,B,1050
44895,4774,spring,2018,F,1050
45574,3983,spring,2018,C,1050
45575,7076,spring,2018,B,1050
45576,3753,spring,2018,D,1050
45577,4707,spring,2018,A,1050
45578,9292,spring,2018,C,1050
45579,770,spring,2018,C+,1050
45580,9278,spring,2018,B-,1050
46117,770,spring,2018,B-,1050
46294,10354,spring,2018,B,1050
46295,2706,spring,2018,C-,1050
46296,4286,spring,2018,C,1050
46297,6470,spring,2018,C,1050
46298,3951,spring,2018,D,1050
46299,854,spring,2018,B,1050
46300,5845,spring,2018,C,1050
46301,2994,spring,2018,C+,1050
46302,4539,spring,2018,F,1050
46303,7499,spring,2018,C,1050
46304,5932,spring,2018,C+,1050
46305,78,spring,2018,C-,1050
46306,4911,spring,2018,C+,1050
46307,7732,spring,2018,B,1050
46308,2690,spring,2018,B-,1050
46309,7076,spring,2018,D,1050
46310,3753,spring,2018,A,1050
46311,1386,spring,2018,C,1050
46312,9292,spring,2018,C+,1050
46977,10603,summer,2018,F,1060
47602,10422,spring,2019,F,1080
