,student_id,class1,class2
411,7871,A,B+
425,2492,F,B-
426,1639,C+,F
427,5108,C,F
428,9376,C,D
430,6977,C-,C
431,5091,A,A-
432,7244,B+,A
433,9008,B-,C-
434,2546,B,B
435,9405,B+,A
436,7845,A,A
437,3424,C,C-
438,6144,C,C+
439,4260,A,A
440,2307,D,C
441,2097,B,C-
443,2447,B-,F
444,2455,A,C-
445,3283,C,F
462,10174,C,F
463,3894,F,B-
465,5108,F,F
468,3910,B,B+
469,3366,B,A-
470,1857,C-,C+
471,2748,C,D
472,4814,B,C+
473,8553,B-,B
474,43,D,C
475,2455,D,C-
478,2447,D,F
482,8248,A-,F
484,8697,B-,D
488,6319,C,A
494,10557,B-,F
503,1423,B-,D
511,7099,C,D
512,2551,F,B
513,1321,B-,B-
514,437,D,F
515,2971,C+,B-
516,9165,C+,B
517,2125,D,C
518,9121,A,A-
519,8698,A-,D+
520,9572,B+,C
521,7132,C,B
522,5498,B,B
523,411,C+,C
524,1954,B,B
525,1765,B-,C
526,5394,F,F
529,8804,F,F
531,8967,C,F
536,1423,F,D
544,7282,C,C-
551,10364,B,B
553,2492,C-,B-
555,6208,C,F
557,7132,F,B
558,43,B,C
559,2307,B,C
560,6577,B+,B-
562,8478,F,F
570,8478,C+,F
575,3861,C-,F
576,9327,C,B
578,8998,B-,C
588,8490,C-,F
594,348,A,B-
599,9596,D,D
602,3966,F,F
604,1783,A-,B
605,646,C+,B
606,8488,A-,A
607,1763,C,C+
608,6627,B,B-
609,1604,D,B
610,4133,F,C-
611,7129,B-,B-
612,5259,A-,B+
613,6896,B+,B-
614,2592,F,B
615,2188,B,C-
616,833,B,C-
617,437,C,F
618,5499,B-,C-
619,3218,B-,B
620,7461,B,C-
621,1965,C,B-
622,5394,C+,F
623,10410,B,C-
624,7499,C-,C
625,2588,F,F
626,871,A-,C+
627,9303,A-,A
629,7977,C,C
633,9596,F,D
638,8490,D,F
639,4508,C+,F
647,3680,B,C+
653,7141,C-,C+
654,9140,B-,B
655,8825,B,C+
656,2551,B,B
657,2125,C,C
658,646,D+,B
659,3238,C,B
665,8804,D,F
669,8804,B,F
675,3104,C,F
679,4774,B,F
685,3252,C,F
687,10422,D,F
691,6660,C,D
693,8139,A-,D
696,1958,C+,D
697,10603,B-,F
698,5865,B+,F
699,5581,C,C
700,5932,F,C+
703,7330,B+,C-
704,5865,A,F
705,328,A-,A-
707,4317,A,D
709,4791,B,B
711,3636,B-,C
712,6470,C,C
715,5581,C,C
716,4771,B-,B-
717,8009,C,C-
718,5229,F,D
719,4875,D+,B-
722,8796,C+,C
723,854,B,B
724,9812,B,D
726,3966,F,F
731,2840,C-,F
735,3988,D,D
736,9596,C-,D
743,8018,C-,D
746,7650,C-,B
747,400,C,B
748,4133,C+,C-
749,2592,B,B
750,2314,B-,B
751,7168,C+,B
752,1604,C-,B
754,2901,B+,C
755,854,D,B
757,1516,C+,C
759,6893,C+,B-
760,6966,B,C
762,2588,C,F
763,1171,B+,C
764,5756,C,C
765,7644,C-,C-
769,263,C+,D
773,3983,B,C
781,9051,B-,B-
783,155,C-,F
787,3983,F,C
788,4707,B,A
789,7076,C,D
790,6424,C,F
791,3753,D,A
792,9573,B,A
793,2690,C+,B-
795,3951,B-,D
796,7644,A,C-
798,78,C-,C-
799,8027,D,C
800,5845,C+,C
801,2994,C,C+
802,6137,F,A
804,648,F,F
805,1386,B-,C
807,7732,C-,B
808,7076,C,D
809,6424,D,F
812,2706,C-,C-
814,3753,B,A
817,4539,B,F
818,1387,B+,D
819,10422,B-,F
828,5823,C,C
832,5367,C-,B
833,10537,B+,C+
834,2513,C-,C-
835,9292,C-,C+
836,615,C,C
837,2766,B,C
838,7320,B,A-
839,6627,A,B-
875,6137,C-,A
896,10553,C,C-
907,5158,C,C
908,8349,B+,B
910,6424,C-,F
912,8027,B-,C
913,5057,C-,F
914,1724,C,F
916,648,A-,F
917,6137,D+,A
918,4330,B-,C+
920,2013,B,C+
924,10222,C-,D
925,6137,B,A
