,classA1,classA2,classA3,classB,student_id
74,B,x,x,C-,3334.0
75,B,x,x,F,4112.0
76,A,x,x,A,3229.0
77,A,x,x,A,9401.0
78,D,C,x,C,3714.0
79,A,x,x,B,8964.0
80,C,x,x,C,4779.0
81,C,x,x,F,3856.0
82,B,x,x,C,9959.0
83,C,x,x,C,9358.0
84,B,x,x,C,4641.0
85,A,x,x,A,1103.0
86,A,x,x,A,3908.0
87,B,x,x,C,6464.0
88,A,x,x,C,8442.0
89,C,D,x,C,4757.0
90,B,x,x,C,6940.0
91,F,C,x,D,9475.0
92,C,x,x,F,9548.0
93,D,C-,x,F,7987.0
94,F,B,x,C,7896.0
95,C,x,x,B,7699.0
96,B-,x,x,B-,9304.0
97,B,x,x,B,8177.0
98,C,x,x,C,9076.0
99,B+,x,x,B,9901.0
100,C-,B,x,F,7970.0
101,C,x,x,C+,7841.0
102,D,B,x,C,8227.0
103,D,C,x,C-,10401.0
104,B-,x,x,C-,6304.0
105,B,x,x,A-,990.0
106,B,x,x,C,9902.0
107,B,x,x,B+,177.0
108,B-,x,x,C+,134.0
109,C+,x,x,C,5734.0
110,C-,x,x,D,9377.0
111,B,x,x,C-,2137.0
112,C+,x,x,C-,6449.0
113,C,x,x,F,1086.0
114,D+,C,x,F,10174.0
115,A-,x,x,F,8248.0
116,D,C+,x,D,9039.0
117,B,x,x,F,3366.0
118,B,x,x,B,4864.0
119,C-,x,x,C+,1857.0
120,C-,x,x,B-,8086.0
121,F,C,x,F,2748.0
122,B,x,x,B+,3910.0
123,B,x,x,C+,4814.0
124,B-,x,x,B,8553.0
125,A-,x,x,C-,9533.0
126,C+,x,x,B-,348.0
127,A,x,x,B-,3895.0
128,A-,x,x,A,2669.0
129,A,x,x,A,7923.0
130,B+,C-,x,C+,9866.0
131,A-,D,x,B-,9043.0
132,B,x,x,C+,2993.0
133,B,x,x,C-,1930.0
134,A-,x,x,A-,192.0
135,B,x,x,B,5023.0
136,B,x,x,B,3118.0
137,C,x,x,C,4687.0
138,B,F,x,C-,7787.0
139,C,x,x,C+,10643.0
140,B+,x,x,A-,280.0
141,F,C-,x,D,2492.0
142,F,C,F,F,5108.0
143,C,x,x,F,6208.0
144,B,x,x,B,10364.0
145,C+,x,x,F,1639.0
146,D,B,x,F,2307.0
147,D,D,B,C,43.0
148,B+,x,x,B-,6577.0
149,F,C+,x,F,8478.0
150,C,x,x,D,3283.0
151,C,x,x,D,9376.0
152,A,x,x,B+,7871.0
153,B-,F,x,B-,3894.0
154,B+,x,x,A,7244.0
155,A,x,x,A,7845.0
156,B,x,x,C-,2097.0
157,C,x,x,C+,6144.0
158,C-,x,x,C,6977.0
159,B+,x,x,A,9405.0
160,C,x,x,C-,3424.0
161,A,x,x,A,4260.0
162,B-,x,x,C-,9008.0
163,A,x,x,A-,5091.0
164,A,D,x,C-,2455.0
165,B-,x,x,F,8697.0
166,B-,D,x,F,2447.0
167,C,x,x,D,6319.0
168,C+,x,x,F,4508.0
169,B,x,x,C+,3680.0
170,B-,x,x,C,10557.0
171,C,x,x,D,7099.0
172,A-,x,x,C,8698.0
173,B-,x,x,B,9140.0
174,B,x,x,C+,8825.0
175,C-,x,x,F,7141.0
176,D,C,x,F,2125.0
177,F,B,x,B,2551.0
178,F,D,B,F,8804.0
179,C,x,x,C-,7282.0
180,B-,F,x,D,1423.0
181,C+,x,x,B,9165.0
182,B,x,x,B,2546.0
183,A,x,x,A-,9121.0
184,B,x,x,B,1954.0
185,C,F,x,B,7132.0
186,B+,x,x,C,9572.0
187,B,x,x,B,5498.0
188,C+,x,x,F,411.0
189,B-,x,x,B-,1321.0
190,C+,x,x,B-,2971.0
191,C,x,x,F,8967.0
192,B-,x,x,C,1765.0
193,C-,x,x,F,2840.0
194,D,x,x,F,3988.0
195,C,x,x,D+,9327.0
196,C-,x,x,D,3861.0
197,C-,x,x,D,8018.0
198,D,F,C-,F,9596.0
199,F,C+,x,A,4133.0
200,F,B,x,C,2592.0
201,C-,x,x,B,7650.0
202,C,x,x,B,400.0
203,D,C-,x,B,1604.0
204,C+,x,x,F,7168.0
205,B,x,x,C,7461.0
206,C+,x,x,F,6893.0
207,C,x,x,B,3238.0
208,B,x,x,C,6966.0
209,F,C,x,F,2588.0
210,B+,x,x,C,1171.0
211,C,x,x,C,7977.0
212,B+,x,x,C,2901.0
213,C-,x,x,C-,7644.0
214,C+,x,x,C,1516.0
215,C,x,x,C,5756.0
216,B-,x,x,C,8998.0
217,C-,D,x,F,8490.0
218,C+,D+,x,B,646.0
219,A-,x,x,A,8488.0
220,B-,x,x,C-,5499.0
221,A-,x,x,B+,5259.0
222,B,x,x,B-,6627.0
223,D,C,x,F,437.0
224,B,x,x,C-,2188.0
225,A-,x,x,B,1783.0
226,B-,x,x,B-,7129.0
227,C,x,x,C+,1763.0
228,B,x,x,C-,833.0
229,B-,x,x,C,3218.0
230,B+,x,x,B-,6896.0
231,C,x,x,B-,1965.0
232,A-,x,x,C+,871.0
233,A-,x,x,A,9303.0
234,B,x,x,C-,10410.0
235,F,C+,x,F,5394.0
236,C-,x,x,D,7499.0
237,C,x,x,C,5823.0
238,A-,x,x,F,8139.0
239,C,x,x,D,3252.0
240,B,x,x,D,4774.0
241,C,x,x,F,3104.0
242,C+,x,x,D,1958.0
243,D,B-,x,F,10422.0
244,B+,x,x,D,1387.0
245,C,x,x,C,6660.0
246,F,F,x,F,3966.0
247,C-,x,x,C,2513.0
248,B,x,x,C-,7320.0
249,C+,x,x,A-,8796.0
250,C,x,x,B,615.0
251,C-,x,x,C,9292.0
252,B+,x,x,C-,10537.0
253,C,x,x,C-,8009.0
254,B,x,x,C,2766.0
255,F,x,x,C,5229.0
256,D+,x,x,B-,4875.0
257,F,x,x,F,5932.0
258,C-,x,x,B,5367.0
259,B+,x,x,C-,7330.0
260,B-,x,x,B,2314.0
261,B-,x,x,B-,4771.0
262,C,C,x,C,5581.0
263,B-,x,x,C,3636.0
264,B,x,x,B,4791.0
265,C,x,x,C,6470.0
266,B,x,x,D,9812.0
267,A-,x,x,A-,328.0
268,A,x,x,D,4317.0
269,B+,A,x,F,5865.0
270,B-,x,x,D,10603.0
271,C,x,x,C-,10553.0
272,C,D,C-,B+,6424.0
273,F,D+,B,A,6137.0
274,F,A-,x,F,648.0
275,B-,x,x,C+,4330.0
276,C,x,x,C,5158.0
277,D,B-,x,C,8027.0
278,B+,x,x,B,8349.0
279,B,x,x,C+,2013.0
280,C-,x,x,F,5057.0
281,C-,x,x,D,10222.0
282,C,x,x,F,1724.0
283,B-,x,x,F,3951.0
284,B,x,x,C,4539.0
285,C+,x,x,D,263.0
286,C-,x,x,F,155.0
287,B-,x,x,B-,9051.0
288,B,F,x,B,3983.0
289,C,C,x,B,7076.0
290,D,B,x,D,3753.0
291,B,x,x,A,4707.0
292,C-,x,x,C-,2706.0
293,B,D,x,B,854.0
294,C+,x,x,C,5845.0
295,C,x,x,C+,2994.0
296,C-,x,x,C-,78.0
297,C-,x,x,B,7732.0
298,C+,x,x,B-,2690.0
299,B-,x,x,C,1386.0
